From;To;Date
4;4;20051124
4;3;20051125
3;4;20051128
4;2;20051129
2;3;20051130
3;3;20051201
3;3;20051202
3;2;20051205
2;3;20051206
3;3;20051207
3;3;20051208
3;4;20051209
4;3;20051212
3;3;20051213
3;3;20051214
3;4;20051215
4;3;20051216
3;5;20051219
5;3;20051220
3;5;20051221
5;3;20051222
3;3;20051223
3;2;20051227
2;2;20051228
2;2;20060103
2;4;20060104
4;4;20060105
4;3;20060106
3;4;20060109
4;3;20060110
3;4;20060111
4;5;20060112
5;3;20060113
3;3;20060116
3;4;20060117
4;4;20060118
4;4;20060119
4;4;20060120
4;4;20060123
4;4;20060124
4;3;20060125
3;3;20060126
3;4;20060127
4;4;20060130
4;4;20060131
4;5;20060201
5;4;20060202
4;4;20060203
4;4;20060206
4;4;20060207
4;3;20060208
3;4;20060209
4;4;20060210
4;4;20060213
4;4;20060214
4;4;20060215
4;6;20060216
6;4;20060217
4;4;20060220
4;4;20060221
4;3;20060222
3;4;20060223
4;5;20060224
5;4;20060227
4;4;20060228
4;4;20060301
4;3;20060302
3;4;20060306
4;5;20060307
5;4;20060308
4;4;20060309
4;4;20060310
4;4;20060313
4;3;20060314
3;4;20060315
4;3;20060316
3;2;20060317
2;4;20060320
4;4;20060321
4;4;20060322
4;4;20060323
4;4;20060324
4;3;20060327
3;2;20060328
2;4;20060329
4;4;20060330
4;3;20060331
3;3;20060403
3;5;20060404
5;5;20060405
5;4;20060406
4;4;20060407
4;4;20060410
4;3;20060411
3;3;20060412
3;3;20060413
3;4;20060414
4;3;20060417
3;4;20060418
4;4;20060419
4;4;20060420
4;4;20060421
4;3;20060425
3;4;20060426
4;5;20060427
5;5;20060428
5;3;20060502
3;4;20060503
4;3;20060504
3;4;20060505
4;3;20060508
3;3;20060509
3;3;20060510
3;4;20060511
4;3;20060512
3;3;20060515
3;3;20060516
3;3;20060517
3;4;20060518
4;4;20060519
4;3;20060522
3;4;20060523
4;4;20060525
4;4;20060526
4;4;20060529
4;4;20060530
4;3;20060531
3;4;20060601
4;4;20060602
4;3;20060605
3;2;20060606
2;3;20060607
3;5;20060608
5;2;20060609
2;4;20060612
4;3;20060613
3;3;20060614
3;4;20060615
4;3;20060616
3;3;20060619
3;4;20060620
4;5;20060621
5;5;20060622
5;5;20060623
5;3;20060626
3;4;20060627
4;2;20060628
2;3;20060629
3;2;20060630
2;2;20060703
2;3;20060704
3;3;20060705
3;2;20060706
2;4;20060707
4;3;20060710
3;3;20060711
3;3;20060712
3;3;20060713
3;4;20060714
4;4;20060717
4;3;20060718
3;4;20060719
4;5;20060720
5;4;20060721
4;4;20060724
4;4;20060725
4;4;20060726
4;4;20060727
4;3;20060728
3;4;20060731
4;4;20060801
4;4;20060802
4;3;20060803
3;4;20060807
4;4;20060808
4;3;20060809
3;4;20060810
4;4;20060811
4;3;20060814
3;4;20060815
4;3;20060816
3;4;20060817
4;4;20060818
4;3;20060821
3;3;20060822
3;4;20060823
4;3;20060824
3;3;20060825
3;4;20060828
4;2;20060829
2;3;20060830
3;2;20060831
2;3;20060901
3;4;20060904
4;3;20060905
3;3;20060907
3;3;20060908
3;4;20060911
4;3;20060912
3;4;20060913
4;3;20060914
3;3;20060915
3;3;20060918
3;4;20060919
4;3;20060920
3;3;20060921
3;4;20060925
4;4;20060926
4;4;20060927
4;4;20060928
4;4;20060929
4;4;20061002
4;4;20061003
4;4;20061004
4;3;20061005
3;4;20061006
4;4;20061009
4;4;20061010
4;4;20061011
4;5;20061012
5;5;20061013
5;3;20061016
3;3;20061017
3;3;20061018
3;4;20061019
4;3;20061020
3;4;20061023
4;4;20061024
4;4;20061025
4;3;20061026
3;4;20061027
4;5;20061030
5;4;20061031
4;4;20061101
4;4;20061102
4;6;20061103
6;3;20061106
3;4;20061107
4;4;20061108
4;4;20061109
4;4;20061110
4;4;20061113
4;3;20061114
3;3;20061115
3;2;20061116
2;3;20061117
3;4;20061120
4;3;20061121
3;3;20061122
3;4;20061123
4;3;20061124
3;3;20061127
3;6;20061128
6;3;20061129
3;4;20061130
4;3;20061201
3;3;20061204
3;5;20061205
5;4;20061206
4;4;20061207
4;4;20061208
4;4;20061211
4;3;20061212
3;3;20061213
3;3;20061214
3;4;20061215
4;4;20061218
4;4;20061219
4;4;20061220
4;4;20061221
4;4;20061222
4;3;20070103
3;4;20070104
4;5;20070105
5;5;20070108
5;5;20070109
5;4;20070110
4;4;20070111
4;4;20070112
4;4;20070115
4;4;20070116
4;6;20070117
6;3;20070118
3;4;20070119
4;4;20070122
4;5;20070123
5;3;20070124
3;4;20070125
4;4;20070126
4;4;20070129
4;4;20070130
4;4;20070131
4;5;20070201
5;4;20070202
4;4;20070205
4;4;20070206
4;5;20070207
5;3;20070208
3;3;20070209
3;4;20070212
4;4;20070213
4;3;20070214
3;4;20070215
4;4;20070216
4;4;20070219
4;4;20070220
4;3;20070221
3;3;20070222
3;5;20070223
5;4;20070226
4;4;20070227
4;4;20070228
4;4;20070301
4;4;20070302
4;4;20070305
4;4;20070306
4;4;20070307
4;3;20070308
3;4;20070309
4;3;20070312
3;3;20070313
3;4;20070314
4;4;20070315
4;4;20070316
4;3;20070319
3;3;20070320
3;3;20070321
3;4;20070322
4;3;20070323
3;3;20070326
3;4;20070327
4;3;20070328
3;4;20070329
4;5;20070330
5;3;20070402
3;4;20070403
4;4;20070404
4;3;20070405
3;3;20070406
3;3;20070410
3;2;20070411
2;3;20070412
3;4;20070413
4;5;20070416
5;2;20070417
2;3;20070418
3;3;20070419
3;3;20070420
