From;To;Date
5;5;20130618
5;5;20130619
5;4;20130620
4;4;20130621
4;4;20130624
4;4;20130625
4;4;20130626
4;4;20130627
4;4;20130628
4;3;20130701
3;4;20130702
4;3;20130704
3;3;20130705
3;3;20130708
3;3;20130709
3;3;20130710
3;4;20130711
4;4;20130712
4;4;20130715
4;3;20130716
3;3;20130717
3;3;20130718
3;3;20130719
3;4;20130722
4;4;20130723
4;3;20130724
3;4;20130725
4;4;20130726
4;4;20130729
4;3;20130730
3;4;20130731
4;4;20130801
4;4;20130802
4;4;20130805
4;4;20130806
4;4;20130807
4;4;20130808
4;4;20130809
4;4;20130812
4;3;20130813
3;4;20130814
4;4;20130816
4;5;20130819
5;4;20130820
4;4;20130821
4;4;20130822
4;4;20130823
4;3;20130826
3;5;20130827
5;4;20130828
4;4;20130829
4;5;20130830
5;4;20130902
4;4;20130903
4;3;20130904
3;4;20130905
4;4;20130906
4;3;20130909
3;4;20130910
4;4;20130911
4;2;20130912
2;2;20130913
2;3;20130916
3;3;20130917
3;4;20130918
4;4;20130919
4;3;20130920
3;4;20130923
4;4;20130924
4;3;20130925
3;3;20130926
3;3;20130927
3;3;20130930
3;3;20131001
3;3;20131002
3;3;20131003
3;3;20131004
3;3;20131007
3;3;20131008
3;3;20131009
3;3;20131010
3;3;20131011
3;3;20131014
3;3;20131015
3;3;20131016
3;4;20131017
4;4;20131018
4;3;20131021
3;4;20131022
4;4;20131023
4;4;20131024
4;3;20131025
3;3;20131028
3;3;20131029
3;4;20131030
4;4;20131031
4;4;20131104
4;4;20131105
4;3;20131106
3;3;20131107
3;3;20131108
3;3;20131112
3;3;20131113
3;4;20131114
4;3;20131115
3;3;20131118
3;3;20131119
3;3;20131120
3;4;20131121
4;4;20131122
4;3;20131125
3;3;20131126
3;4;20131127
4;3;20131128
3;3;20131129
3;3;20131202
3;3;20131203
3;4;20131204
4;3;20131205
3;3;20131206
3;3;20131209
3;4;20131210
4;3;20131211
3;3;20131212
3;3;20131213
3;4;20131216
4;2;20131217
2;3;20131218
3;4;20131219
4;4;20131220
4;2;20131223
2;3;20131227
3;3;20131230
3;3;20140102
3;2;20140103
2;3;20140107
3;2;20140108
2;2;20140109
2;4;20140110
4;5;20140113
5;2;20140114
2;3;20140115
3;3;20140116
3;2;20140117
2;3;20140120
3;4;20140121
4;3;20140122
3;3;20140123
3;3;20140124
3;3;20140127
3;2;20140128
2;4;20140129
4;3;20140130
3;4;20140131
4;3;20140203
3;3;20140204
3;2;20140205
2;5;20140206
5;2;20140207
2;3;20140210
3;4;20140211
4;4;20140212
4;2;20140213
2;3;20140214
3;3;20140217
3;4;20140218
4;3;20140219
3;3;20140220
3;3;20140221
3;2;20140224
2;2;20140225
2;3;20140226
3;2;20140227
2;3;20140228
3;4;20140303
4;3;20140304
3;3;20140305
3;2;20140306
2;3;20140307
3;3;20140310
3;3;20140311
3;2;20140312
2;4;20140313
4;5;20140314
5;3;20140317
3;4;20140318
4;3;20140319
3;3;20140320
3;3;20140321
3;3;20140324
3;3;20140325
3;2;20140326
2;3;20140327
3;3;20140328
3;2;20140331
2;3;20140401
3;4;20140402
4;3;20140403
3;3;20140404
3;4;20140407
4;2;20140408
2;3;20140409
3;3;20140410
3;2;20140411
2;2;20140414
2;3;20140415
3;3;20140416
3;2;20140417
2;3;20140422
3;3;20140423
3;2;20140424
2;3;20140425
3;2;20140429
2;2;20140430
2;2;20140502
2;4;20140505
4;4;20140506
4;3;20140507
3;3;20140508
3;5;20140509
5;3;20140512
3;3;20140513
3;3;20140514
3;4;20140515
4;3;20140516
3;3;20140519
3;3;20140520
3;4;20140521
4;3;20140522
3;3;20140523
3;3;20140526
3;2;20140527
2;3;20140528
3;3;20140529
3;2;20140530
2;2;20140602
2;3;20140603
3;2;20140604
2;3;20140605
3;4;20140606
4;3;20140609
3;3;20140610
3;2;20140611
2;3;20140612
3;3;20140613
3;3;20140616
3;2;20140617
2;3;20140618
3;3;20140620
3;3;20140623
3;3;20140624
3;3;20140625
3;4;20140626
4;3;20140627
3;3;20140630
3;4;20140701
4;4;20140702
4;4;20140703
4;4;20140704
4;4;20140707
4;3;20140708
3;3;20140709
3;3;20140710
3;4;20140711
4;4;20140714
4;3;20140715
3;3;20140716
3;3;20140717
3;3;20140718
3;3;20140721
3;3;20140722
3;3;20140723
3;3;20140724
3;3;20140725
3;3;20140728
3;3;20140729
3;3;20140730
3;2;20140731
2;2;20140801
2;3;20140804
3;3;20140805
3;3;20140806
3;3;20140807
3;2;20140808
2;3;20140811
3;3;20140812
3;2;20140813
2;3;20140814
3;3;20140818
3;3;20140819
3;3;20140820
3;2;20140821
2;3;20140822
3;3;20140825
3;3;20140826
3;3;20140827
3;3;20140828
3;3;20140829
3;3;20140901
3;4;20140902
4;2;20140903
2;3;20140904
3;3;20140905
3;3;20140908
3;4;20140909
4;4;20140910
4;4;20140911
4;3;20140912
3;3;20140915
3;2;20140916
2;4;20140917
4;3;20140918
3;2;20140919
2;4;20140922
4;3;20140923
3;3;20140924
3;3;20140925
3;3;20140926
3;3;20140929
3;4;20140930
4;2;20141001
2;3;20141002
3;3;20141003
3;3;20141006
3;3;20141007
3;2;20141008
2;3;20141009
3;2;20141010
2;3;20141013
3;3;20141014
3;4;20141015
4;2;20141016
2;3;20141017
3;2;20141020
2;4;20141021
4;4;20141022
4;3;20141023
3;3;20141024
3;3;20141027
3;3;20141028
3;3;20141029
3;3;20141030
3;3;20141031
3;4;20141103
4;2;20141104
2;3;20141105
3;4;20141106
4;3;20141107
3;4;20141110
4;4;20141112
4;3;20141113
3;5;20141114
5;3;20141117
3;4;20141118
4;4;20141119
4;3;20141120
3;3;20141121
3;3;20141124
3;3;20141125
3;3;20141126
3;2;20141127
2;3;20141128
3;4;20141201
4;3;20141202
3;3;20141203
3;4;20141204
4;3;20141205
3;3;20141208
3;3;20141209
3;3;20141210
3;4;20141211
4;3;20141212
