From;To;Date
355683;355683;20060817
355683;69048;20060818
69048;6319;20060821
6319;4191;20060822
4191;5465;20060823
5465;3111;20060824
3111;5392;20060825
5392;1414;20060828
1414;2000;20060829
2000;5387;20060830
5387;7233;20060831
7233;6047;20060901
6047;4478;20060904
4478;3381;20060905
3381;7023;20060906
7023;2400;20060907
2400;6022;20060908
6022;2759;20060911
2759;10117;20060912
10117;23678;20060913
23678;2110;20060914
2110;4550;20060915
4550;2451;20060918
2451;4128;20060919
4128;26261;20060920
26261;6100;20060921
6100;4224;20060922
4224;18351;20060925
18351;41222;20060926
41222;34922;20060927
34922;54327;20060928
54327;2100;20060929
2100;32072;20061002
32072;62210;20061003
62210;11239;20061004
11239;653;20061005
653;74097;20061006
74097;30213;20061009
30213;1929;20061010
1929;21867;20061011
21867;2791;20061012
2791;3162;20061013
3162;46120;20061016
46120;85237;20061017
85237;135103;20061018
135103;97813;20061019
97813;105889;20061020
105889;25812;20061023
25812;111776;20061024
111776;11472;20061025
11472;29807;20061026
29807;761;20061027
761;5363;20061030
5363;18231;20061031
18231;4027;20061102
4027;6538;20061103
6538;3295;20061106
3295;18869;20061107
18869;28036;20061108
28036;11800;20061109
11800;11845;20061110
11845;43066;20061113
43066;106571;20061114
106571;13118;20061115
13118;8716;20061116
8716;5681;20061117
5681;3390;20061120
3390;2244;20061121
2244;16102;20061122
16102;33639;20061123
33639;996;20061124
996;2727;20061127
2727;1754;20061128
1754;7073;20061129
7073;34207;20061130
34207;17023;20061201
17023;33985;20061204
33985;80602;20061205
80602;98353;20061206
98353;90665;20061207
90665;8921;20061208
8921;11461;20061211
11461;6125;20061212
6125;7681;20061213
7681;7841;20061214
7841;26800;20061215
26800;1970;20061218
1970;4042;20061219
4042;8855;20061220
8855;22942;20061221
22942;9562;20061222
9562;6879;20061227
6879;8444;20061228
8444;12614;20061229
12614;56713;20070102
56713;15630;20070103
15630;30456;20070104
30456;4387;20070105
4387;3767;20070108
3767;4294;20070109
4294;2945;20070110
2945;3402;20070111
3402;4789;20070112
4789;18370;20070115
18370;15271;20070116
15271;7934;20070117
7934;20247;20070118
20247;4757;20070119
4757;37511;20070122
37511;54818;20070123
54818;5676;20070124
5676;9421;20070125
9421;42856;20070126
42856;5153;20070129
5153;10865;20070130
10865;11575;20070131
11575;12824;20070201
12824;6378;20070202
6378;15110;20070205
15110;5851;20070206
5851;7532;20070207
7532;13295;20070208
13295;14685;20070209
14685;3157;20070212
3157;9371;20070213
9371;8489;20070214
8489;2631;20070215
2631;24563;20070216
24563;15292;20070219
15292;71743;20070220
71743;11339;20070221
11339;2622;20070222
2622;1347;20070223
1347;7536;20070226
7536;5267;20070227
5267;19858;20070228
19858;6830;20070301
6830;14320;20070302
14320;12147;20070305
12147;17682;20070306
17682;4748;20070307
4748;11367;20070308
11367;4527;20070309
4527;2277;20070312
2277;3378;20070313
3378;2952;20070314
2952;7651;20070315
7651;7031;20070316
7031;21511;20070319
21511;8702;20070320
8702;14205;20070321
14205;10316;20070322
10316;7583;20070323
7583;5561;20070326
5561;8851;20070327
8851;5924;20070328
5924;44373;20070329
44373;9504;20070330
9504;13340;20070402
13340;12078;20070403
12078;37185;20070404
37185;13988;20070405
13988;14497;20070410
14497;24393;20070411
24393;13786;20070412
13786;5879;20070413
5879;5345;20070416
5345;13001;20070417
13001;10248;20070418
10248;7123;20070419
7123;5401;20070420
5401;6841;20070423
6841;4478;20070424
4478;2972;20070425
2972;2097;20070426
2097;1646;20070427
1646;1964;20070430
1964;1197;20070502
1197;2370;20070504
2370;3900;20070507
3900;4591;20070508
4591;6555;20070509
6555;12353;20070510
12353;9063;20070511
9063;1190;20070514
1190;2982;20070515
2982;5833;20070516
5833;1246;20070517
1246;1451;20070518
1451;2215;20070521
2215;2240;20070522
2240;3695;20070523
3695;16467;20070524
16467;7734;20070525
7734;91797;20070528
91797;51324;20070529
51324;45596;20070530
45596;7405;20070531
7405;341230;20070601
341230;48111;20070604
48111;37434;20070605
37434;75554;20070606
75554;43463;20070608
43463;8766;20070611
8766;11237;20070612
11237;15702;20070613
15702;40805;20070614
40805;13003;20070615
13003;9847;20070618
9847;21527;20070619
21527;26013;20070620
26013;14840;20070621
14840;30257;20070622
30257;16008;20070625
16008;9801;20070626
9801;73817;20070627
73817;11026;20070628
11026;205763;20070629
205763;93550;20070702
93550;99166;20070703
99166;6770;20070704
6770;6365;20070705
6365;6261;20070706
6261;14374;20070709
14374;2754;20070710
2754;11267;20070711
11267;5057;20070712
5057;24995;20070713
24995;633;20070716
633;3106;20070717
3106;547;20070718
547;2058;20070719
2058;300;20070720
300;151857;20070723
151857;102529;20070724
102529;7378;20070725
7378;4403;20070726
4403;22366;20070727
22366;1778;20070730
1778;4816;20070731
4816;5116;20070801
5116;24417;20070802
24417;5579;20070803
5579;2750;20070806
2750;2505;20070807
2505;140971;20070808
140971;61555;20070809
61555;86778;20070810
86778;18875;20070813
18875;4027;20070814
4027;74957;20070816
74957;6625;20070817
6625;29206;20070820
29206;12502;20070821
12502;25115;20070822
25115;7499;20070823
7499;2895;20070824
2895;24549;20070827
24549;36;20070828
36;3342;20070829
3342;6144;20070830
6144;14211;20070831
14211;46404;20070903
46404;2615;20070904
2615;24146;20070905
24146;4794;20070906
4794;5040;20070907
5040;7171;20070910
7171;8052;20070911
8052;422;20070913
422;110;20070914
110;1725;20070917
1725;517;20070918
517;22262;20070919
22262;2677;20070920
2677;1920;20070921
1920;822;20070924
822;4654;20070925
4654;1500;20070926
1500;1105;20070927
1105;551;20070928
551;621;20071001
621;7001;20071002
7001;6089;20071003
6089;10041;20071004
10041;8400;20071005
8400;20;20071008
20;116;20071009
116;11644;20071010
11644;22127;20071011
22127;22168;20071012
22168;20631;20071015
20631;2438;20071016
2438;6870;20071017
6870;10602;20071018
10602;10255;20071019
10255;3989;20071022
3989;12072;20071023
12072;4518;20071024
4518;11127;20071025
11127;75005;20071026
75005;11171;20071029
11171;5532;20071030
5532;2383;20071031
2383;5302;20071102
5302;3365;20071105
3365;59630;20071106
59630;19522;20071107
19522;13025;20071108
13025;10508;20071109
10508;1143;20071112
1143;3576;20071113
3576;9112;20071114
9112;13251;20071115
13251;7441;20071116
7441;661;20071119
661;2352;20071120
2352;6043;20071121
6043;12784;20071122
12784;3341;20071123
3341;1231;20071126
1231;22872;20071127
22872;15117;20071128
15117;6414;20071129
6414;3199;20071130
3199;1085;20071203
1085;3778;20071204
3778;1648;20071205
1648;4606;20071206
4606;6438;20071207
6438;3985;20071210
3985;4102;20071211
4102;8770;20071212
8770;24776;20071213
24776;33518;20071214
33518;24303;20071217
24303;23961;20071218
23961;107035;20071219
107035;36773;20071220
36773;29303;20071221
29303;20580;20071227
20580;8900;20071228
8900;2243;20080102
2243;10895;20080103
10895;3496;20080104
3496;10709;20080107
10709;23934;20080108
23934;4643;20080109
4643;11203;20080110
11203;3972;20080111
3972;6417;20080114
6417;35411;20080115
35411;28018;20080116
28018;32815;20080117
32815;13872;20080118
13872;5100;20080121
5100;9417;20080122
9417;22837;20080123
22837;2201;20080124
2201;4290;20080125
4290;788;20080128
788;12300;20080129
12300;9547;20080130
9547;9731;20080131
9731;3973;20080201
3973;1619;20080204
1619;784;20080205
784;1596;20080206
1596;5331;20080207
5331;1087;20080208
1087;887;20080211
887;304;20080212
304;3588;20080213
3588;2261;20080214
2261;969;20080215
969;1576;20080218
1576;691;20080219
691;838;20080220
838;2131;20080221
2131;4280;20080222
4280;53259;20080225
53259;15735;20080226
15735;48619;20080227
48619;13219;20080228
13219;9509;20080229
9509;52034;20080303
52034;12050;20080304
12050;72003;20080305
72003;35622;20080306
35622;11793;20080307
11793;31804;20080310
31804;24428;20080311
24428;8875;20080312
8875;21219;20080313
21219;18704;20080314
18704;24922;20080317
24922;43990;20080318
43990;7471;20080319
7471;102041;20080320
102041;24174;20080325
24174;18754;20080326
18754;21471;20080327
21471;11213;20080328
11213;7495;20080331
7495;5947;20080401
5947;7101;20080402
7101;5204;20080403
5204;8994;20080404
8994;19204;20080407
19204;30503;20080408
30503;20249;20080409
20249;6721;20080410
6721;20249;20080411
20249;17920;20080414
17920;90338;20080415
90338;39450;20080416
39450;8000;20080417
8000;852;20080418
852;16252;20080421
16252;11834;20080422
11834;53594;20080423
53594;5875;20080424
5875;4961;20080425
4961;13776;20080428
13776;8147;20080429
8147;26058;20080430
26058;55911;20080505
55911;8085;20080506
8085;10101;20080507
10101;5589;20080508
5589;3843;20080509
3843;62289;20080512
62289;21513;20080513
21513;10807;20080514
10807;5291;20080515
5291;21348;20080516
21348;43962;20080519
43962;8986;20080520
8986;38564;20080521
38564;15266;20080523
15266;39124;20080526
39124;5003;20080527
5003;15039;20080528
15039;9214;20080529
9214;673;20080530
673;39542;20080602
39542;9910;20080603
9910;1018;20080604
1018;5183;20080605
5183;96432;20080606
96432;72203;20080609
72203;78396;20080610
78396;16162;20080611
16162;12385;20080612
12385;79630;20080613
79630;5825;20080616
5825;5933;20080617
5933;5040;20080618
5040;3923;20080619
3923;5380;20080620
5380;7324;20080623
7324;44939;20080624
44939;15083;20080625
15083;5554;20080626
5554;5807;20080627
5807;6815;20080630
6815;3544;20080701
3544;2314;20080702
2314;3389;20080703
3389;2824;20080704
2824;182154;20080707
182154;2750;20080708
2750;2291;20080709
2291;63039;20080710
63039;2445;20080711
2445;1860;20080714
1860;2527;20080715
2527;5332;20080716
5332;1608;20080717
1608;5852;20080718
5852;18991;20080721
18991;37537;20080722
37537;7059;20080723
7059;1828;20080724
1828;7081;20080725
7081;28580;20080728
28580;12701;20080729
12701;1724;20080730
1724;67346;20080731
67346;230;20080801
230;3291;20080804
3291;1946;20080805
1946;766;20080806
766;2152;20080807
2152;3913;20080808
3913;473;20080811
473;1730;20080812
1730;261;20080813
261;689;20080814
689;1355;20080818
1355;13100;20080819
13100;1639;20080820
1639;50094;20080821
50094;28799;20080822
28799;667;20080825
667;1115;20080826
1115;14515;20080827
14515;169;20080828
169;20926;20080829
20926;317;20080901
317;48739;20080902
48739;34169;20080903
34169;62;20080904
62;60;20080905
60;758;20080908
758;50614;20080909
50614;1062;20080910
1062;782;20080911
782;267;20080912
267;4942;20080915
4942;23889;20080916
23889;1915;20080917
1915;11281;20080918
11281;116343;20080919
116343;877;20080922
877;73352;20080923
73352;435;20080924
435;1875;20080925
1875;11378;20080926
11378;285;20080929
285;5288;20080930
5288;2361;20081001
2361;657;20081002
657;148624;20081003
148624;129652;20081006
129652;72352;20081007
72352;6286;20081008
6286;18826;20081009
18826;8922;20081010
8922;5312;20081013
5312;4602;20081014
4602;1680;20081015
1680;2505;20081016
2505;13147;20081017
13147;2070;20081020
2070;2184;20081021
2184;3054;20081022
3054;3956;20081023
3956;3655;20081024
3655;5433;20081027
5433;16897;20081028
16897;6305;20081029
6305;9068;20081030
9068;8625;20081031
8625;7877;20081103
7877;5862;20081104
5862;3787;20081105
3787;2885;20081106
2885;60259;20081107
60259;630;20081110
630;21497;20081112
21497;1739;20081113
1739;3085;20081114
3085;23376;20081117
23376;820;20081118
820;30079;20081119
30079;19576;20081120
19576;2329;20081121
2329;4095;20081124
4095;4054;20081125
4054;1226;20081126
1226;1695;20081127
1695;1374;20081128
1374;697;20081201
697;291;20081202
291;1175;20081203
1175;26096;20081204
26096;197;20081205
197;1714;20081208
1714;139;20081209
139;641;20081210
641;438;20081211
438;1315;20081215
1315;650;20081216
650;3337;20081217
3337;3299;20081218
3299;229;20081219
229;2028;20081222
2028;7122;20081223
7122;701;20081229
701;180;20081230
180;15204;20081231
15204;31314;20090105
31314;104915;20090106
104915;2255;20090107
2255;1591;20090108
1591;100266;20090109
100266;1337;20090112
1337;1926;20090113
1926;159514;20090114
159514;487;20090115
487;3215;20090116
3215;1383;20090119
1383;2025;20090120
2025;1050;20090121
1050;4636;20090122
4636;4603;20090123
4603;12270;20090126
12270;881;20090127
881;10755;20090128
10755;6636;20090129
6636;2212;20090130
2212;59666;20090202
59666;44423;20090203
44423;2731;20090204
2731;4106;20090205
4106;2790;20090206
2790;22473;20090209
22473;26973;20090210
26973;13332;20090211
13332;26297;20090212
26297;94658;20090213
94658;58518;20090216
58518;25319;20090217
25319;11194;20090218
11194;37711;20090219
37711;1791;20090220
1791;8747;20090223
8747;12943;20090224
12943;15731;20090225
15731;5883;20090226
5883;108386;20090227
108386;17034;20090302
17034;10455;20090303
10455;22854;20090304
22854;9593;20090305
9593;2705;20090306
2705;2268;20090309
2268;1015;20090310
1015;50732;20090311
50732;1294;20090312
1294;3911;20090313
3911;1049;20090316
1049;15346;20090317
15346;4855;20090318
4855;1041;20090319
1041;2980;20090320
2980;11079;20090323
11079;9299;20090324
9299;4889;20090325
4889;5832;20090326
5832;16018;20090327
16018;4425;20090330
4425;6458;20090331
6458;3393;20090401
3393;4315;20090402
4315;3245;20090403
3245;4760;20090406
4760;51922;20090407
51922;7571;20090408
7571;19581;20090409
19581;9785;20090414
9785;17607;20090415
17607;12300;20090416
12300;5351;20090417
5351;9917;20090420
9917;2882;20090421
2882;2638;20090422
2638;7282;20090423
7282;1708;20090427
1708;826;20090428
826;4018;20090429
4018;17700;20090430
17700;4546;20090504
4546;9660;20090505
9660;4698;20090506
4698;28719;20090507
28719;13455;20090508
13455;48279;20090511
48279;14285;20090512
14285;23478;20090513
23478;5156;20090514
5156;8831;20090515
8831;8098;20090518
8098;184423;20090519
184423;6223;20090520
6223;2212;20090521
2212;2451;20090522
2451;6636;20090525
6636;4306;20090526
4306;4620;20090527
4620;7302;20090528
7302;22414;20090529
22414;8334;20090601
8334;19656;20090602
19656;8997;20090603
8997;4909;20090604
4909;19521;20090605
19521;9403;20090608
9403;5928;20090609
5928;7185;20090610
7185;9256;20090612
9256;25278;20090615
25278;1760;20090616
1760;2041;20090617
2041;2179;20090618
2179;2971;20090619
2971;5910;20090622
5910;32727;20090623
32727;1748;20090624
1748;5946;20090625
5946;3123;20090626
3123;58671;20090629
58671;1728;20090630
1728;707;20090701
707;84316;20090702
84316;3824;20090703
3824;1016;20090706
1016;306518;20090707
306518;3912;20090708
3912;939;20090709
939;25;20090710
25;1919;20090713
1919;85531;20090714
85531;2218;20090715
2218;122062;20090716
122062;5663;20090717
5663;9613;20090720
9613;13174;20090721
13174;33126;20090722
33126;8491;20090723
8491;8196;20090724
8196;4841;20090727
4841;2905;20090728
2905;11344;20090729
11344;3185;20090730
