From;To;Date
69880;69880;19991117
69880;31718;19991118
31718;87365;19991119
87365;72450;19991122
72450;31995;19991123
31995;56889;19991124
56889;67424;19991125
67424;23429;19991126
23429;6416;19991129
6416;11375;19991130
11375;9625;19991201
9625;8925;19991202
8925;17791;19991203
17791;19600;19991206
19600;4284;19991207
4284;26250;19991208
26250;7875;19991209
7875;48387;19991210
48387;31208;19991213
31208;20343;19991214
20343;31208;19991215
31208;24704;19991216
24704;4229;19991217
4229;35819;19991220
35819;10791;19991221
10791;9595;19991222
9595;57647;19991223
57647;20329;19991227
20329;20151;19991228
20151;20635;19991229
20635;17091;20000103
17091;22458;20000104
22458;8691;20000105
8691;7583;20000106
7583;34985;20000107
34985;78610;20000110
78610;27512;20000111
27512;22895;20000112
22895;5057;20000113
5057;16482;20000114
16482;10558;20000117
10558;64618;20000118
64618;137025;20000119
137025;233508;20000120
233508;440722;20000121
440722;408505;20000124
408505;98907;20000125
98907;115115;20000126
115115;60214;20000127
60214;43604;20000128
43604;17327;20000131
17327;39550;20000201
39550;10091;20000202
10091;72085;20000203
72085;446707;20000204
446707;115304;20000207
115304;250920;20000208
250920;396165;20000209
396165;197467;20000210
197467;221946;20000211
221946;61512;20000214
61512;49962;20000215
49962;51248;20000216
51248;94940;20000217
94940;44770;20000218
44770;56408;20000221
56408;34075;20000222
34075;63160;20000223
63160;61675;20000224
61675;57035;20000225
57035;27562;20000228
27562;43633;20000229
43633;20693;20000301
20693;22954;20000302
22954;18281;20000303
18281;20533;20000306
20533;17257;20000307
17257;20708;20000308
20708;64869;20000309
64869;79155;20000310
79155;25229;20000313
25229;28335;20000314
28335;18535;20000315
18535;65479;20000316
65479;54480;20000317
54480;16872;20000320
16872;15802;20000321
15802;40585;20000322
40585;48504;20000323
48504;68075;20000324
68075;51450;20000327
51450;14495;20000328
14495;15604;20000329
15604;16240;20000330
16240;20518;20000331
20518;11958;20000403
11958;18013;20000404
18013;5220;20000405
5220;4754;20000406
4754;5147;20000407
5147;39331;20000410
39331;11048;20000411
11048;24820;20000412
24820;66091;20000413
66091;22312;20000414
22312;26075;20000417
26075;17558;20000418
17558;28729;20000419
28729;48297;20000420
48297;17937;20000425
17937;23858;20000426
23858;26979;20000427
26979;19250;20000428
19250;8604;20000504
8604;9187;20000505
9187;1516;20000508
1516;9210;20000509
9210;5045;20000510
5045;61002;20000511
61002;38205;20000512
38205;12002;20000515
12002;7233;20000516
7233;4025;20000517
4025;5425;20000518
5425;14029;20000519
14029;15429;20000522
15429;20591;20000523
20591;28700;20000524
28700;12045;20000525
12045;22458;20000526
22458;16741;20000529
16741;20673;20000530
20673;6378;20000531
6378;17470;20000601
17470;29822;20000602
29822;52030;20000605
52030;33836;20000606
33836;34122;20000607
34122;26859;20000608
26859;8283;20000609
8283;50720;20000612
50720;5016;20000613
5016;12833;20000614
12833;31295;20000615
31295;49787;20000616
49787;17675;20000619
17675;20635;20000620
20635;15720;20000621
15720;4550;20000623
4550;29;20000626
29;5191;20000627
5191;6037;20000628
6037;6708;20000629
6708;8895;20000630
8895;10500;20000703
10500;5687;20000704
5687;9686;20000705
9686;6416;20000706
6416;3908;20000707
3908;17354;20000710
17354;13008;20000711
13008;5162;20000712
5162;4316;20000713
4316;7700;20000714
7700;5629;20000717
5629;1516;20000718
1516;7215;20000719
7215;175;20000720
175;3937;20000721
3937;29166;20000724
29166;291;20000725
291;6854;20000726
6854;8312;20000727
8312;46112;20000728
46112;3500;20000731
3500;2260;20000801
2260;13921;20000802
13921;2922;20000803
2922;11025;20000807
11025;2625;20000808
2625;5541;20000809
5541;1575;20000810
1575;7875;20000811
7875;7583;20000816
7583;7729;20000817
7729;4812;20000818
4812;6655;20000821
6655;3733;20000822
3733;3645;20000823
3645;1945;20000825
1945;4316;20000828
4316;2041;20000829
2041;4375;20000830
4375;20154;20000831
20154;50195;20000901
50195;28204;20000904
28204;2741;20000905
2741;6795;20000906
6795;23304;20000907
23304;9304;20000908
9304;6860;20000911
6860;5016;20000912
5016;7233;20000913
7233;5687;20000914
5687;4083;20000915
4083;3966;20000918
3966;7000;20000919
7000;8750;20000920
8750;26045;20000921
26045;51566;20000922
51566;2333;20000925
2333;11958;20000926
11958;22166;20000927
22166;33238;20000928
33238;12891;20000929
12891;5979;20001002
5979;4573;20001003
4573;1750;20001004
1750;8265;20001005
8265;4287;20001006
4287;2479;20001009
2479;7816;20001010
7816;20139;20001011
20139;5250;20001012
5250;13125;20001013
13125;6180;20001016
6180;554;20001017
554;11025;20001018
11025;8108;20001019
8108;10062;20001020
10062;5888;20001023
5888;1370;20001024
1370;3208;20001025
3208;10500;20001026
10500;11666;20001030
11666;3937;20001031
3937;3354;20001102
3354;31870;20001103
31870;18404;20001106
18404;12250;20001107
12250;17937;20001108
17937;5833;20001109
5833;2041;20001110
2041;2187;20001115
2187;729;20001116
729;670;20001117
670;816;20001120
816;1487;20001121
1487;2479;20001122
2479;2712;20001123
2712;437;20001124
437;291;20001127
291;32520;20001128
32520;3120;20001129
3120;875;20001205
875;10791;20001206
10791;816;20001208
816;291;20001211
291;14320;20001212
14320;845;20001213
845;1633;20001214
1633;2770;20001215
2770;25462;20001218
25462;2333;20001219
2333;17500;20001220
17500;19104;20001221
19104;17645;20001222
17645;44187;20001227
44187;1166;20001228
1166;729;20001229
729;4806;20010102
4806;31470;20010103
31470;2916;20010104
2916;71983;20010105
71983;14700;20010109
14700;6795;20010110
6795;11958;20010111
11958;11229;20010115
11229;291;20010116
291;5833;20010117
5833;7291;20010118
7291;2085;20010119
2085;3937;20010122
3937;3062;20010123
3062;10587;20010124
10587;10978;20010125
10978;44012;20010126
44012;291;20010130
291;1458;20010131
1458;13416;20010201
13416;4404;20010202
4404;7291;20010205
7291;12250;20010206
12250;8484;20010207
8484;90136;20010208
90136;22225;20010209
22225;11975;20010212
11975;6562;20010213
6562;8341;20010214
8341;20300;20010215
20300;13241;20010219
13241;10791;20010220
10791;4958;20010221
4958;2625;20010222
2625;12629;20010223
12629;13183;20010226
13183;17791;20010227
17791;4229;20010228
4229;816;20010301
816;5979;20010306
5979;5337;20010308
5337;1370;20010309
1370;4375;20010312
4375;2450;20010313
2450;14379;20010314
14379;291;20010315
291;1458;20010319
1458;1691;20010321
1691;6270;20010322
6270;4812;20010323
4812;2916;20010326
2916;1458;20010327
1458;4958;20010328
4958;495;20010329
495;5483;20010402
5483;4666;20010403
4666;3354;20010404
3354;1458;20010405
1458;6008;20010406
6008;25929;20010409
25929;4287;20010410
4287;13708;20010417
13708;2916;20010418
2916;4491;20010419
4491;1458;20010420
1458;729;20010423
729;612;20010425
612;1166;20010430
1166;875;20010502
875;1779;20010507
1779;3645;20010510
3645;10150;20010511
10150;2916;20010516
2916;2333;20010517
2333;1458;20010521
1458;3820;20010522
3820;1166;20010523
1166;6270;20010524
6270;2916;20010525
2916;291;20010528
291;466;20010531
466;7408;20010604
7408;1458;20010605
1458;3762;20010607
3762;1458;20010608
1458;1137;20010611
1137;1866;20010612
1866;700;20010613
700;1050;20010615
