From;To;Date
87294;87294;20090716
87294;51903;20090717
51903;36646;20090720
36646;6596;20090721
6596;5388;20090722
5388;3051;20090723
3051;19458;20090724
19458;47877;20090727
47877;160475;20090728
160475;17960;20090729
17960;81318;20090730
81318;155461;20090731
155461;173827;20090803
173827;1284210;20090804
1284210;91715;20090805
91715;480323;20090806
480323;31216;20090807
31216;398759;20090810
398759;138974;20090811
138974;30495;20090812
30495;40968;20090813
40968;82266;20090814
82266;183972;20090817
183972;78735;20090818
78735;220910;20090819
220910;296304;20090820
296304;116689;20090821
116689;151577;20090824
151577;45936;20090825
45936;50910;20090826
50910;76391;20090827
76391;97522;20090828
97522;35436;20090831
35436;51486;20090901
51486;48253;20090902
48253;23991;20090903
23991;3184;20090904
3184;69425;20090907
69425;89026;20090908
89026;27532;20090909
27532;24067;20090910
24067;17583;20090911
17583;497907;20090914
497907;1042335;20090915
1042335;253572;20090916
253572;49333;20090917
49333;5764;20090918
5764;3925;20090921
3925;83056;20090922
83056;69071;20090923
69071;52571;20090924
52571;4853;20090925
4853;12939;20090928
12939;5009;20090929
5009;14717;20090930
14717;7812;20091001
7812;14682;20091002
14682;5981;20091005
5981;35501;20091006
35501;18416;20091007
18416;20457;20091008
20457;2311;20091009
2311;25964;20091012
25964;12531;20091013
12531;16110;20091014
16110;29335;20091015
29335;5997;20091016
5997;9733;20091019
9733;31248;20091020
31248;45689;20091021
45689;22403;20091022
22403;22658;20091023
22658;31998;20091026
31998;8051;20091027
8051;91257;20091028
91257;41009;20091029
41009;236998;20091030
236998;413615;20091102
413615;123017;20091103
123017;172561;20091104
172561;97177;20091105
97177;16295;20091106
16295;16817;20091109
16817;56025;20091110
56025;128925;20091112
128925;10223;20091113
10223;11791;20091116
11791;187282;20091117
187282;53825;20091118
53825;28507;20091119
28507;42687;20091120
42687;17258;20091123
17258;31422;20091124
31422;8076;20091125
8076;2;20091126
2;6539;20091127
6539;20152;20091130
20152;25009;20091201
25009;4407;20091202
4407;17644;20091203
17644;16584;20091204
16584;23296;20091207
23296;35327;20091208
35327;17438;20091209
17438;32701;20091210
32701;13761;20091211
13761;2;20091214
2;13340;20091215
13340;494561;20091216
494561;95190;20091217
95190;49775;20091218
49775;135655;20091221
135655;252268;20091222
252268;252531;20091223
252531;126857;20091228
126857;177292;20091229
177292;184428;20091230
184428;7614;20091231
7614;57892;20100104
57892;47501;20100105
47501;39208;20100106
39208;196316;20100107
196316;368356;20100108
368356;314378;20100111
314378;114534;20100112
114534;112217;20100113
112217;337297;20100114
337297;168573;20100115
168573;120291;20100118
120291;236051;20100119
236051;150113;20100120
150113;68174;20100121
68174;101875;20100122
101875;117901;20100125
117901;130362;20100126
130362;64698;20100127
64698;127811;20100128
127811;145628;20100129
145628;75481;20100201
75481;47917;20100202
47917;101518;20100203
101518;140355;20100204
140355;109458;20100205
109458;83854;20100208
83854;80698;20100209
80698;33665;20100210
33665;89911;20100211
89911;149316;20100212
149316;112244;20100215
112244;27508;20100216
27508;45191;20100217
45191;49020;20100218
49020;140221;20100219
140221;138349;20100222
138349;18713;20100223
18713;124048;20100224
124048;212581;20100225
212581;54920;20100226
54920;98287;20100301
98287;118289;20100302
118289;56438;20100303
56438;57605;20100304
57605;65556;20100305
65556;45997;20100308
45997;19519;20100309
19519;44327;20100310
44327;34265;20100311
34265;70743;20100312
70743;244146;20100315
244146;126239;20100316
126239;66749;20100317
66749;117789;20100318
117789;100470;20100319
100470;62683;20100322
62683;73510;20100323
73510;161865;20100324
161865;48035;20100325
48035;51628;20100326
51628;23939;20100329
23939;35109;20100330
35109;84724;20100331
84724;35688;20100401
35688;23467;20100406
23467;16102;20100407
16102;15455;20100408
15455;25779;20100409
25779;10539;20100412
10539;38890;20100413
38890;143732;20100414
143732;52846;20100415
52846;43160;20100416
43160;11217;20100419
11217;17580;20100420
17580;6346;20100421
6346;5632;20100422
5632;6426;20100423
6426;20735;20100426
20735;3105;20100427
3105;36410;20100428
36410;10248;20100429
10248;24974;20100430
24974;31641;20100504
31641;12906;20100505
12906;17924;20100506
17924;25208;20100507
25208;25564;20100510
25564;6834;20100511
6834;8407;20100512
8407;12051;20100513
12051;6484;20100514
6484;13295;20100517
13295;41506;20100518
41506;22202;20100519
22202;37887;20100520
37887;40056;20100521
40056;46174;20100524
46174;11873;20100525
11873;63870;20100526
63870;25349;20100527
25349;34580;20100528
34580;8589;20100531
8589;11071;20100601
11071;5313;20100602
5313;31809;20100604
31809;19862;20100607
19862;3557;20100608
3557;4200;20100609
4200;6584;20100610
6584;11404;20100611
11404;10766;20100614
10766;10458;20100615
10458;8361;20100616
8361;16555;20100617
16555;5305;20100618
5305;4244;20100621
4244;6604;20100622
6604;10187;20100623
10187;6323;20100624
6323;1588;20100625
1588;7837;20100628
7837;1078;20100629
1078;10043;20100630
10043;9097;20100701
9097;14000;20100702
14000;4718;20100705
4718;20494;20100706
20494;20452;20100707
20452;16423;20100708
16423;819;20100709
819;10886;20100712
10886;6433;20100713
6433;648;20100714
648;10134;20100715
10134;18921;20100716
18921;7112;20100719
7112;7898;20100720
7898;2720;20100721
2720;7256;20100722
7256;30354;20100723
30354;9286;20100726
9286;42196;20100727
42196;37324;20100728
37324;24661;20100729
24661;4630;20100730
4630;39408;20100802
39408;96613;20100803
96613;70739;20100804
70739;42896;20100805
42896;105430;20100806
105430;82229;20100809
82229;51793;20100810
51793;5802;20100811
5802;62934;20100812
62934;19142;20100813
19142;51213;20100816
51213;37612;20100817
37612;5017;20100818
5017;16430;20100819
16430;8712;20100820
8712;25022;20100823
25022;22789;20100824
22789;11411;20100825
11411;70961;20100826
70961;107743;20100827
107743;81268;20100830
81268;62270;20100831
62270;70970;20100901
70970;69821;20100902
69821;5923;20100903
5923;17947;20100906
17947;13499;20100907
13499;8190;20100908
8190;13983;20100909
13983;10637;20100910
10637;7633;20100913
7633;28650;20100914
28650;43069;20100915
43069;13743;20100916
13743;16094;20100917
16094;48011;20100920
48011;39070;20100921
39070;40973;20100922
40973;64165;20100923
64165;86190;20100924
86190;54776;20100927
54776;30813;20100928
30813;12833;20100929
12833;52754;20100930
52754;16309;20101001
16309;13655;20101004
13655;27846;20101005
27846;34245;20101006
34245;11761;20101007
11761;21254;20101008
21254;8863;20101011
8863;32210;20101012
32210;16552;20101013
16552;64217;20101014
64217;78733;20101015
78733;55875;20101018
55875;8937;20101019
8937;14141;20101020
14141;134482;20101021
134482;58008;20101022
58008;90212;20101025
90212;117651;20101026
117651;66630;20101027
66630;51151;20101028
51151;111669;20101029
111669;86160;20101102
86160;55417;20101103
55417;83088;20101104
83088;45875;20101105
45875;69245;20101108
69245;36974;20101109
36974;22355;20101110
22355;34667;20101112
34667;34339;20101115
34339;39802;20101116
39802;23009;20101117
23009;67566;20101118
67566;21984;20101119
21984;40586;20101122
40586;12962;20101123
12962;71935;20101124
71935;57152;20101125
57152;37659;20101126
37659;8987;20101129
8987;14314;20101130
14314;15887;20101201
15887;45417;20101202
45417;26752;20101203
26752;11180;20101206
11180;26854;20101207
26854;38690;20101208
38690;30282;20101209
30282;19830;20101210
19830;14112;20101213
14112;8276;20101214
8276;16034;20101215
16034;18051;20101216
18051;6832;20101217
6832;14597;20101220
14597;19051;20101221
19051;19489;20101222
19489;72901;20101223
72901;58347;20101227
58347;120339;20101228
120339;44566;20101229
44566;17493;20101230
17493;13663;20101231
13663;56207;20110103
56207;54009;20110104
54009;68008;20110105
68008;16003;20110107
16003;12853;20110110
12853;31667;20110111
31667;9446;20110112
9446;9147;20110113
9147;83060;20110114
83060;35467;20110117
35467;30267;20110118
30267;30330;20110119
30330;36158;20110120
36158;38343;20110121
38343;13283;20110124
13283;11093;20110125
11093;53977;20110126
53977;22764;20110127
22764;15586;20110128
15586;17711;20110131
17711;40763;20110201
40763;12815;20110202
12815;9014;20110203
9014;2478;20110204
2478;15625;20110207
15625;4401;20110208
4401;9984;20110209
9984;2852;20110210
2852;8852;20110211
8852;4376;20110214
4376;27766;20110215
27766;4347;20110216
4347;8526;20110217
8526;14573;20110218
14573;12043;20110221
12043;53718;20110222
53718;23042;20110223
23042;54018;20110224
54018;27589;20110225
27589;16680;20110228
16680;22462;20110301
22462;26887;20110302
26887;19866;20110303
19866;4088;20110304
4088;6225;20110307
6225;5052;20110308
5052;19245;20110309
19245;13101;20110310
13101;64982;20110311
64982;45895;20110314
45895;42181;20110315
42181;66668;20110316
66668;6180;20110317
6180;6467;20110318
6467;14219;20110321
14219;9270;20110322
9270;22907;20110323
22907;64829;20110324
64829;23650;20110325
23650;29260;20110328
29260;15664;20110329
15664;23950;20110330
23950;5470;20110331
5470;9765;20110401
9765;2664;20110404
2664;12163;20110405
12163;29791;20110406
29791;116769;20110407
116769;31485;20110408
31485;28500;20110411
28500;21006;20110412
21006;3419;20110413
3419;11706;20110414
11706;19132;20110415
19132;11457;20110418
11457;1478;20110419
1478;30349;20110420
30349;9059;20110421
9059;13797;20110426
13797;8879;20110427
8879;8446;20110428
8446;12993;20110429
12993;6118;20110502
6118;11567;20110504
11567;9753;20110505
9753;30425;20110506
30425;9717;20110509
9717;4304;20110510
4304;21436;20110511
21436;5270;20110512
5270;2585;20110513
2585;23972;20110516
23972;21269;20110517
21269;2869;20110518
2869;3441;20110519
3441;3528;20110520
3528;6478;20110523
6478;3384;20110524
3384;3847;20110525
3847;8312;20110526
8312;10989;20110527
10989;40320;20110530
40320;4302;20110531
4302;8946;20110601
8946;7499;20110602
7499;3821;20110603
3821;3618;20110606
3618;8236;20110607
8236;2123;20110608
2123;6483;20110609
6483;961;20110610
961;3655;20110613
3655;8813;20110614
8813;2973;20110615
2973;11203;20110616
