From;To;Date
6745;6745;20111215
6745;3372;20111216
3372;2000;20111219
2000;1310;20111220
1310;5129;20111221
5129;300;20111222
300;2500;20111223
2500;1000;20111227
1000;2000;20111228
2000;3000;20111229
3000;32785;20111230
32785;10;20120102
10;1110;20120103
1110;1215;20120104
1215;500;20120105
500;1008;20120109
1008;6600;20120206
6600;3600;20120207
3600;5819;20120208
5819;6585;20120209
6585;1974;20120210
1974;900;20120213
900;3200;20120214
3200;814;20120220
814;1918;20120221
1918;500;20120223
500;220;20120302
220;3563;20120305
3563;30;20120306
30;2938;20120308
2938;2830;20120312
2830;1055;20120313
1055;520;20120314
520;6430;20120315
6430;1511;20120316
1511;406;20120320
406;2787;20120326
2787;33;20120328
33;500;20120329
500;533;20120330
533;768;20120402
768;590;20120403
590;990;20120417
990;50;20120426
50;1001;20120502
1001;600;20120510
600;1000;20120511
1000;978;20120514
978;150;20120517
150;610;20120524
610;740;20120525
740;485;20120531
485;520;20120601
520;1473;20120629
1473;50;20120821
50;55000;20120928
55000;100;20121001
100;150;20121003
150;215;20121005
215;250;20121012
250;220;20121022
220;150;20121227
150;51500;20121228
51500;255;20130125
255;900;20130213
900;1100;20130220
1100;150;20130305
150;599;20130322
599;83;20130404
83;20;20130405
20;250;20130531
250;2;20130604
2;602;20130701
602;199;20130723
199;600;20130731
600;50;20130812
50;50;20130827
50;620;20130828
620;3;20130902
3;150;20130927
150;8;20131112
8;1;20131218
1;3000;20131230
3000;390;20140107
390;664;20140121
664;1;20140124
1;250;20140204
250;182;20140218
182;12;20140226
12;317;20140303
317;200;20140304
200;175;20140311
175;700;20140317
700;300;20140320
300;120;20140331
120;240;20140401
240;1000;20140515
1000;240;20140516
240;5;20140519
5;2235;20140521
2235;390;20140523
390;24;20140620
24;405;20140626
405;500;20140627
500;191381;20141114
191381;10;20141117
