From;To;Date
454939;454939;20110406
454939;159471;20110407
159471;98388;20110408
98388;60431;20110411
60431;28273;20110412
28273;11349;20110413
11349;21094;20110414
21094;8622;20110415
8622;9860;20110418
9860;1910;20110419
1910;32700;20110420
32700;17127;20110421
17127;38272;20110426
38272;13765;20110427
13765;30627;20110428
30627;7201;20110429
7201;13498;20110502
13498;6377;20110504
6377;1260;20110505
1260;11191;20110506
11191;12190;20110509
12190;3872;20110510
3872;2590;20110511
2590;1710;20110512
1710;2342;20110513
2342;601;20110516
601;3347;20110517
3347;3561;20110518
3561;5111;20110519
5111;3628;20110520
3628;4194;20110523
4194;1110;20110524
1110;1644;20110525
1644;4519;20110526
4519;3397;20110527
3397;4780;20110530
4780;2207;20110531
2207;435;20110601
435;607;20110602
607;2000;20110603
2000;6123;20110606
6123;5031;20110607
5031;7473;20110608
7473;4590;20110609
4590;2321;20110610
2321;5136;20110613
5136;14875;20110614
14875;3417;20110615
3417;31934;20110616
31934;6394;20110617
6394;10306;20110620
10306;3270;20110621
3270;1630;20110622
1630;291;20110624
291;351;20110627
351;9731;20110628
9731;1947;20110629
1947;1210;20110630
1210;1602;20110701
1602;2329;20110704
2329;2;20110705
2;8435;20110706
8435;4364;20110707
4364;3007;20110708
3007;6101;20110711
6101;1321;20110712
1321;8241;20110713
8241;107783;20110714
107783;1262;20110715
1262;991;20110718
991;561;20110720
561;2510;20110721
2510;1451;20110722
1451;26406;20110725
26406;79789;20110726
79789;6681;20110727
6681;2822;20110728
2822;8481;20110729
8481;802;20110801
802;6292;20110802
6292;12401;20110803
12401;6613;20110804
6613;6390;20110805
6390;6322;20110808
6322;41501;20110809
41501;23811;20110810
23811;6430;20110811
6430;14467;20110812
14467;8300;20110816
8300;4462;20110817
4462;601;20110818
601;2070;20110822
2070;2559;20110823
2559;3410;20110826
3410;436;20110829
436;1850;20110830
1850;18921;20110831
18921;11872;20110901
11872;18115;20110902
18115;9231;20110905
9231;4260;20110906
4260;6100;20110907
6100;5785;20110908
5785;3750;20110909
3750;8991;20110912
8991;4466;20110913
4466;2007;20110914
2007;1909;20110915
1909;2659;20110916
2659;550;20110919
550;802;20110920
802;1039;20110922
1039;3079;20110923
3079;3475;20110926
3475;34;20110927
34;3285;20110928
3285;1;20110929
1;8000;20110930
8000;1450;20111003
1450;1911;20111004
1911;1;20111005
1;1;20111006
1;1;20111007
1;1;20111010
1;1;20111011
1;1;20111012
1;1;20111013
1;8130;20111014
8130;2990;20111017
2990;1;20111018
1;1;20111019
