From;To;Date
403618;403618;20070416
403618;56565;20070417
56565;36705;20070418
36705;25854;20070419
25854;22746;20070420
22746;32112;20070423
32112;3955;20070424
3955;5541;20070425
5541;10446;20070426
10446;42425;20070427
42425;10912;20070430
10912;12980;20070502
12980;10469;20070504
10469;2481;20070507
2481;9450;20070508
9450;3710;20070509
3710;1083;20070510
1083;4909;20070511
4909;1173;20070514
1173;6767;20070515
6767;5725;20070516
5725;5677;20070517
5677;1765;20070518
1765;11962;20070521
11962;2869;20070522
2869;1580;20070523
1580;2342;20070524
2342;544;20070525
544;710;20070528
710;1515;20070529
1515;1909;20070530
1909;11506;20070531
11506;2150;20070601
2150;1367;20070604
1367;836;20070605
836;2995;20070606
2995;8503;20070608
8503;3560;20070611
3560;4455;20070612
4455;2597;20070614
2597;3498;20070615
3498;9359;20070618
9359;9234;20070619
9234;7433;20070620
7433;3891;20070621
3891;4964;20070622
4964;5497;20070625
5497;102;20070626
102;102;20070627
102;4164;20070628
4164;214;20070629
214;2086;20070702
2086;8311;20070703
8311;8259;20070704
8259;4472;20070705
4472;3136;20070706
3136;812;20070709
812;6192;20070710
6192;1110;20070711
1110;5438;20070712
5438;270;20070713
270;3347;20070716
3347;804;20070717
804;3771;20070718
3771;227;20070719
227;1527;20070720
1527;5203;20070723
5203;97;20070724
97;2100;20070725
2100;1203;20070726
1203;880;20070727
880;380;20070730
380;605;20070731
605;5720;20070801
5720;4602;20070802
4602;2451;20070803
2451;5278;20070806
5278;125;20070807
125;544;20070808
544;442;20070809
442;1498;20070810
1498;176;20070813
176;160;20070814
160;1310;20070816
1310;3894;20070817
3894;3229;20070820
3229;1501;20070821
1501;2089;20070822
2089;2384;20070823
2384;1790;20070824
1790;1580;20070827
1580;599;20070828
599;1058;20070829
1058;2305;20070830
2305;231;20070903
231;5730;20070904
5730;314;20070905
314;704;20070906
704;1510;20070907
1510;6998;20070910
6998;2974;20070911
2974;1050;20070912
1050;350;20070913
350;119;20070914
119;1615;20070917
1615;540;20070918
540;154;20070919
154;5896;20070920
5896;1892;20070921
1892;354;20070924
354;215;20070925
215;4011;20070926
4011;2825;20070927
2825;143;20070928
143;16500;20071001
16500;13066;20071002
13066;998;20071003
998;6901;20071004
6901;7895;20071005
7895;2171;20071008
2171;201;20071009
201;2281;20071010
2281;3876;20071011
3876;1941;20071012
1941;501;20071015
501;830;20071016
830;2504;20071017
2504;2425;20071018
2425;1380;20071019
1380;2271;20071022
2271;250;20071023
250;928;20071024
928;3668;20071025
3668;3533;20071026
3533;100;20071029
100;154;20071030
154;6756;20071031
6756;25897;20071102
25897;2811;20071105
2811;912;20071106
912;1510;20071107
1510;1151;20071108
1151;1296;20071109
1296;333;20071112
333;200;20071114
200;213;20071115
213;2234;20071116
2234;1599;20071119
1599;1254;20071120
1254;1008;20071121
1008;3100;20071122
3100;820;20071123
820;200;20071126
200;150;20071127
150;3061;20071129
3061;1200;20071130
1200;1137;20071203
1137;483;20071204
483;10514;20071205
10514;82;20071206
82;800;20071207
800;1522;20071210
1522;1020;20071211
1020;290;20071212
290;2000;20071213
2000;268;20071214
268;572;20071218
572;13018;20071219
13018;11657;20071220
11657;92836;20071221
92836;2157;20071227
2157;501;20071228
