From;To;Date
122500;122500;19971105
122500;71484;19971106
71484;107796;19971107
107796;93461;19971112
93461;29728;19971113
29728;48236;19971114
48236;127766;19971117
127766;57128;19971118
57128;47780;19971119
47780;15479;19971120
15479;29471;19971121
29471;22756;19971124
22756;47656;19971125
47656;23300;19971126
23300;8519;19971127
8519;20034;19971128
20034;45242;19971201
45242;44267;19971202
44267;65333;19971203
65333;34715;19971204
34715;35869;19971205
35869;77960;19971208
77960;30401;19971209
30401;34765;19971210
34765;60026;19971211
60026;16446;19971212
16446;7740;19971215
7740;4422;19971216
4422;11180;19971217
11180;18999;19971218
18999;46213;19971219
46213;48024;19971222
48024;28224;19971223
28224;7748;19971229
7748;22721;19971230
22721;24913;19971231
24913;10449;19980105
10449;14705;19980106
14705;67054;19980107
67054;23476;19980108
23476;9948;19980109
9948;14566;19980112
14566;8809;19980113
8809;27314;19980114
27314;93532;19980115
93532;15418;19980116
15418;5084;19980119
5084;23655;19980120
23655;874;19980121
874;3958;19980122
3958;2645;19980123
2645;8390;19980126
8390;4359;19980127
4359;2141;19980128
2141;5150;19980129
5150;10512;19980130
10512;1486;19980202
1486;24353;19980203
24353;12853;19980204
12853;14446;19980205
14446;33954;19980206
33954;20755;19980209
20755;44862;19980210
44862;13060;19980211
13060;110210;19980212
110210;5619;19980213
5619;3033;19980216
3033;5462;19980217
5462;3389;19980218
3389;12604;19980219
12604;6622;19980220
6622;13241;19980223
13241;22854;19980224
22854;14655;19980225
14655;19929;19980226
19929;11689;19980227
11689;16534;19980302
16534;18366;19980303
18366;6926;19980304
6926;8574;19980305
8574;9504;19980306
9504;3852;19980309
3852;1519;19980310
1519;17809;19980311
17809;11820;19980312
11820;3326;19980313
3326;21561;19980316
21561;8698;19980317
8698;692;19980318
692;38636;19980319
38636;579;19980320
579;599;19980323
599;1290;19980324
1290;453;19980325
453;5241;19980326
5241;1552;19980327
1552;2973;19980330
2973;3802;19980331
3802;5795;19980401
5795;10079;19980402
10079;1990;19980406
1990;1718;19980407
1718;3494;19980408
3494;2058;19980409
2058;3227;19980414
3227;2519;19980415
2519;3757;19980416
3757;1874;19980417
1874;1698;19980420
