From;To;Date
1704;1704;19980217
1704;1895;19980218
1895;7018;19980219
7018;10727;19980220
10727;26066;19980223
26066;5514;19980224
5514;3780;19980225
3780;9995;19980226
9995;2005;19980227
2005;3208;19980302
3208;1003;19980306
1003;8121;19980309
8121;3008;19980310
3008;1003;19980311
1003;2737;19980312
2737;2206;19980316
2206;802;19980317
802;8742;19980318
8742;4181;19980320
4181;4371;19980323
4371;7319;19980324
7319;1003;19980325
1003;1464;19980326
1464;3008;19980327
3008;501;19980330
501;2406;19980401
2406;301;19980402
301;1574;19980406
1574;2687;19980407
2687;1003;19980408
1003;1003;19980409
1003;1684;19980414
1684;4411;19980415
4411;1754;19980416
1754;2005;19980417
2005;501;19980420
501;1404;19980421
1404;1003;19980423
1003;2506;19980427
2506;612;19980428
612;150;19980430
150;1003;19980504
1003;501;19980508
501;3008;19980511
3008;2005;19980512
2005;1003;19980513
1003;702;19980514
702;1504;19980519
1504;1704;19980520
1704;1003;19980522
1003;1805;19980525
1805;3770;19980526
3770;100;19980527
100;3629;19980601
3629;1644;19980605
1644;4311;19980610
4311;1003;19980615
1003;4912;19980616
4912;2005;19980624
2005;1003;19980625
1003;3479;19980629
3479;3509;19980630
3509;1053;19980701
1053;1003;19980720
1003;1003;19980721
1003;1203;19980722
1203;1003;19980807
1003;1003;19980810
1003;501;19980811
501;2005;19980813
2005;2005;19980814
2005;2005;19980827
2005;3008;19980828
3008;2005;19980831
2005;2005;19981006
2005;4010;19981110
4010;782;19981117
782;3008;19981118
3008;6015;19981123
6015;10025;19981124
10025;1003;19981125
1003;1003;19981126
1003;19379;19981127
19379;1003;19981130
1003;7118;19981201
7118;100;19981207
100;2336;19981211
2336;6918;19981223
6918;2256;19981230
2256;100;19981231
100;2005;19990104
2005;100;19990105
100;9825;19990115
9825;251;19990205
251;2005;19990209
2005;2005;19990210
2005;1003;19990311
1003;1003;19990322
1003;1003;19990330
1003;401;19990409
401;802;19990412
802;802;19990414
802;2506;19990422
2506;1003;19990426
1003;4010;19990427
4010;2005;19990504
2005;1003;19990506
1003;1003;19990510
1003;2506;19990512
2506;13033;19990513
13033;32031;19990514
32031;15539;19990517
15539;3008;19990518
3008;17143;19990519
17143;8822;19990520
8822;3880;19990521
3880;22357;19990524
22357;10025;19990525
10025;4181;19990527
4181;1003;19990601
1003;1003;19990607
1003;301;19990611
301;702;19990615
702;1704;19990616
1704;1003;19990628
1003;2707;19990629
2707;2005;19990712
2005;1003;19990723
1003;1003;19990806
1003;1003;19990810
1003;1454;19990830
1454;2005;19990901
2005;401;19990903
401;902;19990917
902;40102;19991001
40102;10025;19991004
10025;501;19991006
501;2005;19991007
2005;1003;19991011
1003;39099;19991012
39099;2005;19991015
2005;4010;19991022
4010;10025;19991104
10025;11028;19991105
11028;1003;19991119
1003;2506;19991122
2506;1003;19991124
1003;9023;19991125
9023;1003;19991126
1003;1003;19991129
1003;5013;19991201
5013;3008;19991202
3008;401;19991206
401;4682;19991207
4682;772;19991213
772;5143;19991215
5143;1003;19991217
1003;2296;19991220
2296;1003;19991223
1003;1003;19991227
1003;4010;19991228
4010;3880;19991229
3880;100;20000106
100;3509;20000110
3509;732;20000114
732;812;20000124
812;1103;20000204
1103;10025;20000207
10025;1203;20000208
1203;13434;20000209
13434;54097;20000210
54097;10627;20000211
10627;1905;20000214
1905;6015;20000216
6015;17645;20000217
17645;8121;20000218
8121;1805;20000221
1805;8020;20000223
8020;8121;20000224
8121;74479;20000225
74479;17043;20000228
17043;6015;20000229
6015;2506;20000301
2506;7018;20000302
7018;2005;20000303
2005;1704;20000306
1704;27460;20000307
27460;1604;20000308
1604;30076;20000309
30076;5013;20000313
5013;2005;20000315
2005;3008;20000316
3008;9023;20000317
9023;3509;20000320
3509;10025;20000322
10025;3008;20000323
3008;1805;20000324
1805;2005;20000328
2005;8522;20000330
8522;3308;20000331
3308;2005;20000403
2005;6015;20000406
6015;3509;20000410
3509;1003;20000419
1003;1003;20000420
1003;2005;20000427
2005;952;20000504
952;4712;20000516
4712;3008;20000522
3008;2005;20000523
2005;5013;20000524
5013;8020;20000530
8020;2005;20000602
2005;2005;20000606
2005;3008;20000607
3008;682;20000619
682;1003;20000704
1003;100;20000710
100;2005;20000717
2005;2005;20000718
2005;8020;20000720
8020;100;20000721
100;1504;20000801
1504;301;20000807
301;1003;20000808
1003;511;20000809
511;4411;20000814
4411;5514;20000816
5514;1003;20000817
1003;14336;20000818
14336;2707;20000821
2707;6436;20000825
6436;7018;20000830
7018;1003;20000831
1003;2005;20000906
2005;802;20000907
802;2005;20000913
2005;16341;20000914
16341;3008;20000915
3008;501;20000918
501;3008;20000921
3008;902;20000928
902;2105;20001002
2105;21855;20001006
21855;1203;20001018
1203;3810;20001019
3810;7920;20001020
7920;401;20001023
401;18046;20001026
18046;1905;20001031
1905;2306;20001103
2306;14076;20001107
14076;4511;20001108
4511;2005;20001109
2005;2206;20001115
2206;1003;20001121
1003;20051;20001130
20051;10025;20001204
10025;17444;20001205
17444;10426;20001206
10426;301;20001207
301;1303;20001208
1303;3609;20001211
3609;301;20001214
301;501;20001219
501;501;20001220
501;501;20001221
501;2005;20001222
2005;70;20001228
70;5013;20010102
5013;37595;20010103
37595;37094;20010104
37094;37094;20010105
37094;37094;20010108
37094;1003;20010110
1003;37094;20010115
37094;37595;20010117
37595;26066;20010118
26066;26066;20010119
26066;1003;20010122
1003;39600;20010123
39600;501;20010126
501;39099;20010130
39099;9925;20010131
9925;35590;20010202
35590;35590;20010205
35590;40402;20010206
40402;41004;20010207
41004;30076;20010214
30076;27169;20010219
27169;25064;20010220
25064;301;20010222
301;27069;20010227
27069;38097;20010228
38097;38498;20010301
38498;17043;20010302
17043;17043;20010305
17043;19850;20010309
19850;19850;20010312
19850;27069;20010319
27069;5514;20010320
5514;41606;20010322
41606;24362;20010326
24362;30076;20010327
30076;16943;20010328
16943;36994;20010330
36994;14036;20010403
14036;34688;20010404
34688;20051;20010405
20051;64163;20010406
64163;23058;20010409
23058;27069;20010410
27069;42909;20010411
42909;36493;20010417
36493;41204;20010418
41204;8020;20010419
8020;7018;20010420
7018;16041;20010423
16041;12031;20010424
12031;8522;20010425
8522;30578;20010430
30578;19048;20010502
19048;205822;20010504
205822;11930;20010507
11930;20853;20010508
20853;38598;20010509
38598;59852;20010510
59852;20051;20010511
20051;20051;20010514
20051;1003;20010516
1003;37194;20010517
37194;38197;20010518
38197;20051;20010521
20051;20051;20010522
20051;37194;20010523
37194;38097;20010524
38097;149379;20010525
149379;1003;20010528
1003;36092;20010605
36092;30076;20010606
30076;15038;20010607
15038;10025;20010612
