From;To;Date
291383;291383;19970210
291383;516118;19970211
516118;303519;19970212
303519;135675;19970213
135675;101184;19970214
101184;129568;19970217
129568;93141;19970218
93141;69025;19970219
69025;102569;19970220
102569;40366;19970221
40366;44612;19970224
44612;43555;19970225
43555;28991;19970226
28991;92074;19970227
92074;33754;19970228
33754;32697;19970303
32697;22752;19970304
22752;36735;19970305
36735;19605;19970306
19605;23391;19970307
23391;13070;19970310
13070;20816;19970311
20816;9968;19970312
9968;11012;19970313
11012;9473;19970314
9473;12807;19970317
12807;19650;19970318
19650;16019;19970319
16019;12927;19970320
12927;69355;19970321
69355;30508;19970324
30508;27691;19970325
27691;30871;19970326
30871;54360;19970327
54360;40201;19970328
40201;4720;19970401
4720;26371;19970402
26371;47308;19970403
47308;20651;19970404
20651;18670;19970407
18670;6591;19970408
6591;11200;19970409
11200;14313;19970410
14313;10044;19970411
10044;11134;19970414
11134;8241;19970415
8241;6041;19970416
6041;8164;19970417
8164;10617;19970418
10617;7581;19970421
7581;16260;19970422
16260;19792;19970423
19792;17504;19970424
17504;19737;19970425
19737;5445;19970428
5445;9066;19970429
9066;4874;19970430
4874;7614;19970505
7614;10936;19970506
10936;15667;19970507
15667;19253;19970508
19253;40388;19970509
40388;35414;19970512
35414;30486;19970513
30486;56945;19970514
56945;33633;19970515
33633;26999;19970516
26999;3795;19970519
3795;5557;19970520
5557;46637;19970521
46637;10584;19970522
10584;7008;19970523
7008;7404;19970526
7404;8735;19970527
8735;14952;19970528
14952;16338;19970529
16338;6591;19970530
6591;7646;19970602
7646;13521;19970603
13521;22719;19970604
22719;14798;19970605
14798;23093;19970606
23093;7151;19970609
7151;11519;19970610
11519;21938;19970611
21938;9010;19970612
9010;21234;19970613
21234;13895;19970616
13895;10275;19970617
10275;8009;19970618
8009;8274;19970619
8274;8758;19970620
8758;14852;19970623
14852;9824;19970624
9824;10275;19970626
10275;19408;19970627
19408;22037;19970630
22037;67980;19970701
67980;191992;19970702
191992;254065;19970703
254065;176864;19970704
176864;30508;19970707
30508;44722;19970708
44722;69994;19970709
69994;211609;19970710
211609;83394;19970711
83394;49122;19970714
49122;91656;19970715
91656;22598;19970716
22598;52214;19970717
52214;42720;19970718
42720;28759;19970721
28759;35414;19970722
35414;82040;19970723
82040;130317;19970724
130317;238860;19970725
238860;54459;19970728
54459;88069;19970729
88069;59036;19970730
59036;45844;19970731
45844;99367;19970801
99367;12662;19970804
12662;98576;19970805
98576;21607;19970806
21607;30387;19970807
30387;64283;19970808
64283;26603;19970811
26603;26119;19970812
26119;28220;19970813
28220;26470;19970814
26470;33643;19970818
33643;23885;19970819
23885;14753;19970820
14753;32984;19970821
32984;28165;19970822
28165;20452;19970825
20452;77254;19970826
77254;9957;19970827
9957;61478;19970828
61478;46273;19970829
46273;17405;19970901
17405;51643;19970902
51643;32147;19970903
32147;29133;19970904
29133;13994;19970905
13994;15127;19970908
15127;33600;19970909
33600;30343;19970910
30343;23312;19970911
23312;29199;19970912
29199;21728;19970915
21728;40344;19970916
40344;41466;19970917
41466;28593;19970918
28593;30684;19970919
30684;16921;19970922
16921;20375;19970923
20375;27153;19970924
27153;28527;19970925
28527;53678;19970926
53678;27505;19970929
27505;41938;19970930
41938;36977;19971001
36977;39331;19971002
39331;28593;19971003
28593;33225;19971006
33225;30122;19971007
30122;35107;19971008
35107;7019;19971009
7019;17504;19971010
17504;21586;19971013
21586;13576;19971014
13576;7459;19971015
7459;11871;19971016
11871;12542;19971017
12542;10308;19971020
10308;9583;19971021
9583;17570;19971022
17570;27824;19971023
27824;16338;19971024
16338;30629;19971027
30629;146325;19971028
146325;76022;19971029
76022;24226;19971030
24226;9781;19971103
9781;18318;19971104
18318;40178;19971105
40178;30805;19971106
30805;44371;19971107
44371;77365;19971110
77365;34611;19971111
34611;63007;19971112
63007;80676;19971113
80676;48088;19971114
48088;13411;19971117
13411;37197;19971118
37197;12211;19971119
12211;23345;19971120
23345;13708;19971121
13708;14643;19971124
14643;21145;19971125
21145;11859;19971126
11859;16921;19971127
16921;16612;19971128
16612;11243;19971201
11243;12751;19971202
12751;15590;19971203
15590;36086;19971204
36086;27977;19971205
27977;35745;19971208
35745;17702;19971209
17702;15183;19971210
15183;49751;19971211
49751;28605;19971212
28605;29903;19971215
29903;17251;19971216
17251;44942;19971217
44942;48760;19971218
48760;36746;19971219
36746;20925;19971222
20925;8735;19971223
8735;35921;19971224
35921;4302;19971229
4302;90688;19971230
90688;4928;19980105
4928;18318;19980106
18318;22202;19980107
22202;18153;19980108
18153;22103;19980109
22103;43150;19980112
43150;20694;19980113
20694;34061;19980114
34061;14313;19980115
14313;7273;19980116
7273;6370;19980119
6370;13456;19980120
13456;32786;19980121
32786;12399;19980122
12399;13301;19980123
13301;7141;19980126
7141;59399;19980127
59399;10936;19980128
10936;26811;19980129
26811;10221;19980130
10221;5610;19980202
5610;12575;19980203
12575;28010;19980204
28010;155896;19980205
155896;75109;19980206
75109;77738;19980209
77738;42742;19980210
42742;22729;19980211
22729;32961;19980212
32961;84417;19980213
84417;34446;19980216
34446;54623;19980217
54623;104914;19980218
104914;14974;19980219
14974;62446;19980220
62446;17317;19980223
17317;22874;19980224
22874;130944;19980225
130944;140372;19980226
140372;24765;19980227
24765;19132;19980302
19132;18440;19980303
18440;61290;19980304
61290;242041;19980305
242041;47649;19980306
47649;121394;19980309
121394;62072;19980310
62072;118424;19980311
118424;35844;19980312
35844;186480;19980313
186480;26712;19980316
26712;131406;19980317
131406;95242;19980318
95242;60269;19980319
60269;85506;19980320
85506;41872;19980323
41872;125322;19980324
125322;94890;19980325
94890;173355;19980326
173355;84384;19980327
84384;36922;19980330
36922;129998;19980331
129998;63304;19980401
63304;28560;19980402
28560;30475;19980403
30475;21102;19980406
21102;35833;19980407
35833;12597;19980408
12597;38308;19980409
38308;29562;19980410
29562;14600;19980414
14600;25414;19980415
25414;8944;19980416
8944;27042;19980417
27042;19495;19980420
19495;46097;19980421
46097;20155;19980422
20155;12454;19980423
12454;13752;19980424
13752;29287;19980428
29287;10462;19980429
10462;6271;19980430
6271;3939;19980504
3939;18131;19980505
18131;34193;19980506
34193;30233;19980507
30233;26768;19980508
26768;12158;19980511
12158;9814;19980512
9814;9945;19980513
9945;5501;19980514
5501;8911;19980515
8911;25316;19980518
25316;17185;19980519
17185;28319;19980520
28319;15292;19980521
15292;9583;19980522
9583;9054;19980525
9054;11058;19980526
11058;6436;19980527
6436;12629;19980528
12629;8890;19980529
8890;5975;19980601
5975;14798;19980602
14798;54689;19980603
54689;20144;19980604
20144;61621;19980608
61621;39101;19980609
39101;22025;19980610
22025;19869;19980611
19869;9659;19980612
9659;11134;19980615
11134;11111;19980616
11111;13731;19980617
13731;5557;19980618
5557;10891;19980619
10891;8185;19980622
8185;7679;19980623
7679;17152;19980624
17152;5557;19980629
5557;63195;19980630
63195;7228;19980701
7228;13763;19980702
13763;74746;19980703
74746;9407;19980706
9407;8020;19980707
8020;10353;19980708
10353;13466;19980709
13466;8460;19980710
8460;19749;19980713
19749;11442;19980714
11442;18450;19980715
18450;8801;19980716
8801;12728;19980717
12728;22367;19980720
22367;27439;19980721
27439;27516;19980722
27516;24072;19980723
24072;28275;19980724
28275;10265;19980727
10265;17824;19980728
17824;15171;19980729
15171;12311;19980730
12311;8383;19980731
8383;8383;19980803
8383;17745;19980804
17745;18208;19980805
18208;27516;19980806
27516;11210;19980807
11210;13642;19980810
13642;44546;19980811
44546;35569;19980812
35569;28022;19980813
28022;18164;19980814
18164;32455;19980817
32455;20760;19980818
20760;20266;19980819
20266;9737;19980820
9737;17438;19980821
17438;17438;19980824
17438;13048;19980825
13048;18802;19980826
18802;44789;19980827
44789;60170;19980828
60170;35118;19980831
35118;69697;19980901
69697;51203;19980902
51203;39947;19980903
39947;13632;19980904
13632;23951;19980907
23951;9803;19980908
9803;19341;19980909
19341;46758;19980910
46758;18308;19980911
18308;14974;19980914
14974;18813;19980915
18813;17393;19980916
17393;36922;19980917
36922;47429;19980918
47429;21751;19980921
21751;16239;19980922
16239;26305;19980923
26305;18924;19980924
18924;53194;19980925
53194;7108;19980928
7108;16744;19980929
16744;26580;19980930
26580;18494;19981001
18494;11618;19981002
11618;34326;19981005
34326;4708;19981006
4708;7019;19981007
7019;5897;19981008
5897;20738;19981009
20738;6051;19981012
6051;12047;19981013
12047;11694;19981014
11694;9000;19981015
9000;28682;19981016
28682;3201;19981019
3201;10584;19981020
10584;4874;19981021
4874;4819;19981022
4819;3466;19981023
3466;6756;19981026
6756;11542;19981027
11542;19352;19981028
19352;8361;19981029
8361;4148;19981030
4148;3993;19981102
3993;11750;19981103
11750;8559;19981104
8559;6425;19981105
6425;5369;19981106
5369;5138;19981109
5138;9043;19981110
9043;10792;19981111
10792;2651;19981112
2651;6293;19981113
6293;3058;19981116
3058;5534;19981117
5534;10541;19981118
10541;9593;19981119
9593;14093;19981120
14093;4049;19981123
4049;14412;19981124
14412;10650;19981125
10650;21827;19981126
21827;13994;19981127
13994;12531;19981130
12531;15282;19981201
15282;8989;19981202
8989;9274;19981203
9274;41620;19981204
41620;5544;19981207
5544;4753;19981208
4753;45471;19981209
45471;7162;19981210
7162;4774;19981211
4774;9241;19981214
9241;9847;19981215
9847;10308;19981216
10308;9395;19981217
9395;11529;19981218
11529;9099;19981221
9099;298722;19981222
298722;16866;19981223
16866;10419;19981224
10419;10232;19981228
10232;1062643;19981229
1062643;9440;19981230
9440;9879;19990104
9879;10837;19990105
10837;40267;19990106
40267;25326;19990107
25326;18957;19990108
18957;15084;19990111
15084;51246;19990112
51246;23159;19990113
23159;27450;19990114
27450;580280;19990115
580280;8471;19990118
8471;14544;19990119
14544;12410;19990120
12410;447510;19990121
447510;11190;19990122
11190;11838;19990125
11838;19660;19990126
19660;33303;19990127
33303;34458;19990128
34458;491187;19990129
491187;38275;19990201
38275;27219;19990202
27219;57363;19990203
57363;147744;19990204
147744;189870;19990205
189870;34788;19990209
34788;8691;19990210
8691;306290;19990211
306290;11519;19990212
11519;29297;19990215
29297;20287;19990216
20287;26052;19990217
26052;135158;19990218
135158;624397;19990219
624397;51522;19990222
51522;105023;19990223
105023;36658;19990224
36658;40333;19990225
40333;13499;19990226
13499;12520;19990301
12520;15436;19990302
15436;12520;19990303
12520;21652;19990304
21652;92449;19990305
92449;45261;19990308
45261;18318;19990309
18318;35095;19990310
