From;To;Date
87166;87166;20070213
87166;23779;20070214
23779;9060;20070215
9060;4422;20070216
4422;9826;20070219
9826;10802;20070220
10802;6585;20070221
6585;2926;20070222
2926;2789;20070223
2789;3779;20070226
3779;7636;20070227
7636;6844;20070228
6844;3339;20070301
3339;2304;20070302
2304;2238;20070305
2238;1019;20070306
1019;1290;20070307
1290;2478;20070308
2478;2457;20070309
2457;1482;20070312
1482;1724;20070313
1724;30310;20070314
30310;12727;20070315
12727;3820;20070316
3820;3338;20070319
3338;5233;20070320
5233;4902;20070321
4902;5490;20070322
5490;2675;20070323
2675;3333;20070326
3333;26305;20070327
26305;7011;20070328
7011;4242;20070329
4242;13252;20070330
13252;18191;20070402
18191;11033;20070403
11033;6293;20070404
6293;5621;20070405
5621;5769;20070410
5769;4442;20070411
4442;6639;20070412
6639;13094;20070413
13094;16469;20070416
16469;11901;20070417
11901;9926;20070418
9926;8143;20070419
8143;7759;20070420
7759;7897;20070423
7897;6432;20070424
6432;4199;20070425
4199;3821;20070426
3821;2004;20070427
2004;2286;20070430
2286;2386;20070502
2386;3852;20070504
3852;8491;20070507
8491;3544;20070508
3544;1466;20070509
1466;2334;20070510
2334;5127;20070511
5127;1981;20070514
1981;34121;20070515
34121;8265;20070516
8265;57368;20070517
57368;36789;20070518
36789;31358;20070521
31358;16971;20070522
16971;39713;20070523
39713;63442;20070524
63442;19506;20070525
19506;22813;20070528
22813;31405;20070529
31405;29479;20070530
29479;11872;20070531
11872;14729;20070601
14729;9240;20070604
9240;14058;20070605
14058;7574;20070606
7574;6814;20070608
6814;11552;20070611
11552;10390;20070612
10390;4709;20070613
4709;3948;20070614
3948;22225;20070615
22225;11194;20070618
11194;10978;20070619
10978;17564;20070620
17564;8046;20070621
8046;4900;20070622
4900;5556;20070625
5556;7305;20070626
7305;9890;20070627
9890;5833;20070628
5833;5941;20070629
5941;4006;20070702
4006;8114;20070703
8114;4865;20070704
4865;2964;20070705
2964;4906;20070706
4906;4514;20070709
4514;5190;20070710
5190;6683;20070711
6683;2501;20070712
2501;3739;20070713
3739;10831;20070716
10831;5838;20070717
5838;4503;20070718
4503;4677;20070719
4677;2813;20070720
2813;2063;20070723
2063;4343;20070724
4343;4276;20070725
4276;6503;20070726
6503;9208;20070727
9208;8068;20070730
8068;5991;20070731
5991;7687;20070801
7687;3401;20070802
3401;4324;20070803
4324;7449;20070806
7449;4823;20070807
4823;8469;20070808
8469;5503;20070809
5503;10421;20070810
10421;9982;20070813
9982;4499;20070814
4499;18190;20070816
18190;12394;20070817
12394;11014;20070820
11014;4710;20070821
4710;7237;20070822
7237;9420;20070823
9420;7138;20070824
7138;9953;20070827
9953;31346;20070828
31346;21667;20070829
21667;23193;20070830
23193;15006;20070831
15006;8272;20070903
8272;8981;20070904
8981;5986;20070905
5986;9432;20070906
9432;6708;20070907
6708;5394;20070910
5394;5007;20070911
5007;3474;20070912
3474;4741;20070913
4741;2326;20070914
2326;1940;20070917
1940;1674;20070918
1674;8971;20070919
8971;11160;20070920
11160;7773;20070921
7773;6234;20070924
6234;3091;20070925
3091;3496;20070926
3496;4711;20070927
4711;3364;20070928
3364;8328;20071001
8328;5884;20071002
5884;4278;20071003
4278;3406;20071004
3406;7755;20071005
7755;5263;20071008
5263;12398;20071009
12398;4856;20071010
4856;5500;20071011
5500;4242;20071012
4242;4389;20071015
