From;To;Date
692776;692776;19970617
692776;304586;19970618
304586;276339;19970619
276339;214369;19970620
214369;196521;19970623
196521;140764;19970624
140764;169866;19970625
169866;183520;19970626
183520;103861;19970627
103861;81807;19970630
81807;107648;19970701
107648;91290;19970702
91290;99810;19970703
99810;227281;19970704
227281;196111;19970707
196111;188842;19970708
188842;294388;19970709
294388;219470;19970710
219470;268110;19970711
268110;185390;19970714
185390;99545;19970715
99545;201675;19970716
201675;86272;19970717
86272;124363;19970718
124363;65065;19970721
65065;82068;19970722
82068;48131;19970723
48131;73998;19970724
73998;86997;19970725
86997;41828;19970728
41828;99300;19970729
99300;93643;19970730
93643;75574;19970731
75574;25255;19970801
25255;31928;19970804
31928;27834;19970805
27834;114622;19970806
114622;68904;19970807
68904;83051;19970808
83051;70844;19970811
70844;18903;19970812
18903;133221;19970813
133221;77312;19970814
77312;140430;19970818
140430;59249;19970819
59249;46664;19970820
46664;50534;19970821
50534;48117;19970822
48117;83630;19970825
83630;54406;19970826
54406;43997;19970827
43997;38899;19970828
38899;56952;19970829
56952;132863;19970901
132863;26824;19970902
26824;86533;19970903
86533;117399;19970904
117399;93974;19970905
93974;39962;19970908
39962;151214;19970909
151214;141357;19970910
141357;114437;19970911
114437;90280;19970912
90280;51600;19970915
51600;83551;19970916
83551;73303;19970917
73303;67133;19970918
67133;22190;19970919
22190;31581;19970922
31581;40700;19970923
40700;9033;19970924
9033;75008;19970925
75008;60818;19970926
60818;73446;19970929
73446;56078;19970930
56078;44768;19971001
44768;54122;19971002
54122;41881;19971003
41881;29687;19971006
29687;49117;19971007
49117;42560;19971008
42560;64638;19971009
64638;30866;19971010
30866;48528;19971013
48528;20125;19971014
20125;128656;19971015
128656;69080;19971016
69080;147626;19971017
147626;74621;19971020
74621;107969;19971021
107969;21717;19971022
21717;32676;19971023
32676;69685;19971024
69685;68957;19971027
68957;0;19971028
0;67968;19971029
67968;62440;19971030
62440;114112;19971031
114112;164351;19971103
164351;43735;19971104
43735;42659;19971105
42659;22574;19971106
22574;22859;19971107
22859;16156;19971112
16156;43196;19971113
43196;43752;19971114
43752;22329;19971117
22329;48296;19971118
48296;14796;19971119
14796;14806;19971120
14806;125363;19971121
125363;42209;19971124
42209;43586;19971125
43586;23173;19971126
23173;43901;19971127
43901;73360;19971128
73360;33911;19971201
33911;79625;19971202
79625;44711;19971203
44711;50325;19971204
50325;98191;19971205
98191;16855;19971208
16855;7732;19971209
7732;26328;19971210
