From;To;Date
2174027;2174027;20061023
2174027;1621644;20061024
1621644;1648966;20061025
1648966;1119652;20061026
1119652;596610;20061027
596610;1608066;20061030
1608066;398619;20061031
398619;318321;20061101
318321;2852413;20061102
2852413;116218;20061103
116218;317281;20061106
317281;501385;20061107
501385;941424;20061108
941424;200133;20061109
200133;256710;20061110
256710;505302;20061113
505302;586797;20061114
586797;640145;20061115
640145;920417;20061116
920417;680392;20061117
680392;728063;20061120
728063;294361;20061121
294361;320242;20061122
320242;594835;20061123
594835;711180;20061124
711180;134825;20061127
134825;109496;20061128
109496;129733;20061129
129733;71296;20061130
71296;130581;20061201
130581;106144;20061204
106144;347395;20061205
347395;306064;20061206
306064;217081;20061207
217081;339169;20061208
339169;374172;20061211
374172;114055;20061212
114055;520370;20061213
520370;473455;20061214
473455;25112;20061215
25112;1818954;20061218
1818954;99879;20061219
99879;310650;20061220
310650;730540;20061221
730540;86056;20061222
86056;222363;20061227
222363;49992;20061228
49992;215211;20061229
215211;158182;20070102
158182;635314;20070103
635314;563823;20070104
563823;170374;20070105
170374;491668;20070108
491668;120773;20070109
120773;463718;20070110
463718;288082;20070111
288082;49251;20070112
49251;76088;20070115
76088;290457;20070116
290457;464107;20070117
464107;514707;20070118
514707;86792;20070119
86792;51473;20070122
51473;158095;20070123
158095;315803;20070124
315803;194012;20070125
194012;347866;20070126
347866;360987;20070129
360987;329878;20070130
329878;139431;20070131
139431;287156;20070201
287156;181700;20070202
181700;203388;20070205
203388;213924;20070206
213924;213354;20070207
213354;1257477;20070208
1257477;996422;20070209
996422;589166;20070212
589166;537200;20070213
537200;186943;20070214
186943;229017;20070215
229017;80045;20070216
80045;117541;20070219
117541;83599;20070220
83599;110719;20070221
110719;576944;20070222
576944;355954;20070223
355954;205054;20070226
205054;228661;20070227
228661;685500;20070228
685500;623614;20070301
623614;296052;20070302
296052;204485;20070305
204485;178727;20070306
178727;334873;20070307
334873;256541;20070308
256541;127215;20070309
127215;151263;20070312
151263;121777;20070313
121777;187846;20070314
187846;51680;20070315
51680;46539;20070316
46539;90025;20070319
90025;59013;20070320
59013;28662;20070321
28662;147585;20070322
147585;265007;20070323
265007;144267;20070326
144267;220684;20070327
220684;27703;20070328
27703;146623;20070329
146623;185247;20070330
185247;128487;20070402
128487;325461;20070403
325461;329427;20070404
329427;87370;20070405
87370;39764;20070410
39764;37512;20070411
37512;511477;20070412
511477;147764;20070413
147764;642628;20070416
642628;112617;20070417
112617;101730;20070418
101730;127170;20070419
127170;87191;20070420
87191;66928;20070423
66928;21282;20070424
21282;127876;20070425
127876;55797;20070426
55797;75379;20070427
75379;30727;20070430
30727;133658;20070502
133658;144576;20070503
144576;54877;20070504
54877;291045;20070507
291045;105577;20070508
105577;130623;20070509
130623;99585;20070510
99585;64374;20070511
64374;38925;20070514
38925;102425;20070515
102425;21704;20070516
21704;26066;20070518
26066;44880;20070521
44880;148073;20070522
148073;64214;20070523
64214;93321;20070524
93321;19149;20070525
19149;21148;20070528
21148;85481;20070529
85481;26065;20070530
26065;543523;20070531
543523;78047;20070601
78047;139497;20070604
139497;26937;20070605
26937;12480;20070606
12480;47080;20070607
47080;33274;20070608
33274;50414;20070611
50414;41001;20070612
41001;137130;20070613
137130;106798;20070614
106798;33654;20070615
33654;42301;20070618
42301;63529;20070619
63529;63295;20070620
63295;92087;20070621
92087;104284;20070622
104284;96879;20070625
96879;86842;20070626
86842;90924;20070627
90924;319910;20070628
319910;243397;20070629
243397;673337;20070702
673337;72527;20070703
72527;112339;20070704
112339;46786;20070705
46786;307542;20070706
307542;137383;20070709
137383;166852;20070710
166852;123417;20070711
123417;141046;20070712
141046;566047;20070713
566047;86086;20070716
86086;37624;20070717
37624;44784;20070718
44784;371863;20070719
371863;84574;20070720
84574;121885;20070723
121885;31181;20070724
31181;193564;20070725
193564;10158;20070726
10158;73093;20070727
73093;90964;20070730
90964;252799;20070731
252799;75664;20070801
75664;53194;20070802
53194;37910;20070803
37910;106993;20070806
106993;141400;20070807
141400;14205;20070808
14205;14986;20070809
14986;42460;20070810
42460;40810;20070813
40810;5436;20070814
5436;43861;20070815
43861;181941;20070816
181941;142462;20070817
142462;79036;20070821
79036;22545;20070822
22545;37608;20070823
37608;16066;20070824
16066;41263;20070827
41263;3959;20070828
3959;29496;20070829
29496;16389;20070830
16389;55022;20070831
55022;4236;20070903
4236;13354;20070904
13354;86851;20070905
86851;25805;20070906
25805;24639;20070907
24639;27741;20070910
27741;104762;20070911
104762;8538;20070912
8538;21522;20070913
21522;7469;20070914
7469;48437;20070917
48437;77728;20070918
77728;33319;20070919
33319;37383;20070920
37383;16725;20070921
16725;131667;20070924
131667;590930;20070925
590930;62942;20070926
62942;25757;20070927
25757;6970;20070928
6970;1672;20071001
1672;300;20071002
300;535;20071004
535;277;20071008
277;407;20071009
407;11420;20071010
11420;11409;20071011
11409;2571;20071012
2571;11639;20071015
11639;11313;20071016
11313;22615;20071017
22615;227;20071018
227;65435;20071019
65435;114;20071022
114;33774;20071023
33774;227;20071025
227;1486;20071029
1486;282;20071030
282;227;20071105
227;58;20071106
58;518;20071107
518;102;20071108
102;917;20071109
917;260;20071112
260;20;20071113
20;227;20071114
227;144;20071115
144;973;20071116
