From;To;Date
94133;94133;19940630
94133;100969;19940704
100969;126985;19940705
126985;105607;19940706
105607;0;19940707
0;80229;19940711
80229;0;19940712
0;139313;19940713
139313;103114;19940714
103114;142668;19940718
142668;50143;19940719
50143;70384;19940720
70384;118780;19940721
118780;68565;19940725
68565;32691;19940726
32691;31273;19940727
31273;31494;19940728
31494;28185;19940801
28185;71442;19940802
71442;62235;19940803
62235;121230;19940804
121230;40580;19940808
40580;45072;19940809
45072;30635;19940810
30635;36395;19940811
36395;26100;19940816
26100;45818;19940817
45818;17024;19940818
17024;17956;19940822
17956;26211;19940823
26211;32663;19940824
32663;20041;19940825
20041;24835;19940829
24835;41827;19940830
41827;20689;19940831
20689;11542;19940901
11542;13599;19940905
13599;28811;19940906
28811;46622;19940907
46622;59994;19940908
59994;48431;19940912
48431;133698;19940913
133698;42138;19940914
42138;27879;19940915
27879;63807;19940919
63807;47066;19940920
47066;52150;19940921
52150;56402;19940922
56402;20434;19940926
20434;24259;19940927
24259;34222;19940928
34222;43794;19940929
43794;53962;19941003
53962;56740;19941004
56740;35951;19941005
35951;38699;19941006
38699;25778;19941007
25778;43451;19941010
43451;39283;19941011
39283;35783;19941012
35783;40835;19941013
40835;10196;19941014
10196;9530;19941017
9530;13637;19941018
13637;40707;19941019
40707;30008;19941020
30008;48325;19941021
48325;28916;19941024
28916;38046;19941025
38046;27580;19941026
27580;17429;19941027
17429;16870;19941028
16870;25218;19941102
25218;27905;19941103
27905;21715;19941104
21715;10206;19941107
10206;16765;19941108
16765;24042;19941109
24042;14368;19941110
14368;19586;19941114
19586;20639;19941115
20639;28227;19941116
28227;20412;19941117
20412;55703;19941118
55703;17656;19941121
17656;22724;19941122
22724;6098;19941123
6098;13801;19941124
13801;18957;19941125
18957;35341;19941128
35341;42254;19941129
42254;96384;19941130
96384;38590;19941201
38590;22241;19941202
22241;20210;19941205
20210;24176;19941206
24176;20649;19941207
20649;30629;19941208
30629;34011;19941209
34011;27076;19941212
27076;44078;19941213
44078;12252;19941214
12252;14883;19941215
14883;20798;19941216
20798;23710;19941219
23710;9740;19941220
9740;7405;19941221
7405;14053;19941222
14053;12590;19941223
12590;4944;19941227
4944;9840;19941228
9840;5707;19941229
5707;17598;19950102
17598;23561;19950103
23561;4036;19950104
4036;23854;19950105
23854;9758;19950106
9758;9735;19950109
9735;5446;19950110
5446;4207;19950111
4207;10505;19950112
10505;13794;19950113
13794;8695;19950116
8695;9667;19950117
9667;15578;19950118
15578;9309;19950119
9309;19999;19950120
19999;11559;19950123
11559;19973;19950124
19973;21393;19950125
21393;15920;19950126
15920;5687;19950127
5687;14354;19950130
14354;35260;19950131
35260;21127;19950201
21127;25218;19950202
25218;12013;19950203
12013;15982;19950206
15982;21951;19950207
21951;20079;19950208
20079;6803;19950209
6803;4928;19950210
4928;942;19950213
942;21382;19950214
21382;12240;19950215
12240;7715;19950216
7715;7075;19950217
7075;6217;19950220
6217;30780;19950221
30780;11891;19950222
11891;11317;19950223
11317;53473;19950224
53473;21019;19950227
21019;5389;19950228
5389;26794;19950301
26794;6005;19950302
6005;16335;19950303
16335;48095;19950306
48095;9503;19950307
9503;7344;19950308
7344;5219;19950309
5219;5690;19950310
5690;3310;19950313
3310;16434;19950314
16434;18294;19950315
18294;7099;19950316
7099;12774;19950317
12774;11168;19950320
11168;11005;19950321
11005;13986;19950322
13986;15778;19950323
15778;5376;19950324
5376;10591;19950327
10591;7769;19950328
7769;13166;19950329
13166;8186;19950330
8186;17608;19950331
17608;14059;19950403
14059;22492;19950404
22492;15616;19950405
15616;18529;19950406
18529;20884;19950407
20884;32902;19950410
32902;27860;19950411
27860;59347;19950412
59347;15891;19950413
15891;10866;19950414
10866;20374;19950418
20374;41595;19950419
41595;97227;19950420
97227;26789;19950421
26789;33443;19950424
33443;49078;19950425
49078;23276;19950426
23276;22798;19950427
22798;26371;19950428
26371;14891;19950504
14891;8935;19950505
8935;14953;19950509
14953;30399;19950510
30399;53266;19950511
53266;75940;19950512
75940;63117;19950515
63117;37338;19950516
37338;24060;19950517
24060;22298;19950518
22298;34309;19950519
34309;34566;19950522
34566;34884;19950523
34884;37000;19950524
37000;60410;19950525
60410;32286;19950526
32286;26295;19950529
26295;30675;19950530
30675;8766;19950531
8766;14783;19950601
14783;49825;19950602
49825;31252;19950605
31252;47878;19950606
47878;40372;19950607
40372;23384;19950608
23384;19418;19950609
19418;14238;19950612
14238;14783;19950613
14783;15261;19950614
15261;23243;19950616
23243;18433;19950619
18433;13305;19950620
13305;22240;19950621
22240;6183;19950622
6183;9819;19950623
9819;28034;19950626
28034;31556;19950627
31556;14806;19950628
14806;23678;19950629
23678;12465;19950630
12465;23221;19950703
23221;13481;19950704
13481;9421;19950705
9421;8857;19950706
8857;13616;19950707
13616;6521;19950710
6521;4025;19950711
4025;9945;19950712
9945;13875;19950713
13875;6679;19950714
6679;13698;19950717
13698;63261;19950718
63261;15637;19950719
15637;10173;19950720
10173;7566;19950721
7566;13791;19950724
13791;8697;19950725
8697;5310;19950726
5310;18671;19950727
18671;15691;19950728
15691;10518;19950731
10518;15829;19950801
15829;16631;19950802
16631;20771;19950803
20771;5615;19950804
5615;12349;19950807
12349;10452;19950808
10452;6353;19950809
6353;9274;19950810
9274;14968;19950811
14968;13559;19950816
13559;5987;19950817
5987;6790;19950818
6790;10816;19950821
10816;4243;19950822
4243;3258;19950823
3258;7754;19950824
7754;5338;19950825
5338;5890;19950828
5890;2065;19950829
2065;9763;19950830
9763;10049;19950831
10049;3270;19950901
3270;11573;19950904
11573;15176;19950905
15176;9424;19950906
9424;8141;19950907
8141;12139;19950908
12139;38129;19950911
38129;26181;19950912
26181;9581;19950913
9581;20145;19950914
20145;14098;19950915
14098;11780;19950918
11780;16335;19950919
16335;8470;19950920
8470;12361;19950921
12361;9239;19950922
9239;12018;19950925
12018;9406;19950926
9406;3545;19950927
3545;7544;19950928
7544;8085;19950929
8085;4311;19951002
4311;7076;19951003
7076;17275;19951004
17275;8676;19951005
8676;7262;19951006
7262;2972;19951009
2972;8688;19951010
8688;5173;19951011
5173;2646;19951012
2646;8273;19951013
8273;3558;19951016
3558;6950;19951017
6950;16466;19951018
16466;6482;19951019
6482;8270;19951020
8270;8654;19951023
8654;13359;19951024
13359;19200;19951025
19200;7760;19951026
7760;4603;19951027
4603;15171;19951030
15171;11565;19951031
11565;14623;19951102
14623;18386;19951103
18386;9410;19951106
9410;20932;19951107
20932;13061;19951108
13061;9844;19951109
9844;7947;19951110
7947;7066;19951113
7066;11188;19951114
11188;12396;19951115
12396;10796;19951116
10796;4454;19951117
4454;10975;19951120
10975;23445;19951121
23445;28170;19951122
28170;17826;19951123
17826;4573;19951124
4573;4525;19951127
4525;13166;19951128
13166;11564;19951129
11564;24976;19951130
24976;22647;19951201
22647;24253;19951204
24253;23872;19951205
23872;58604;19951206
58604;66192;19951207
66192;32707;19951208
32707;60294;19951211
60294;59339;19951212
59339;81986;19951213
81986;46356;19951214
46356;22707;19951215
22707;27356;19951218
27356;21830;19951219
21830;23687;19951220
23687;38429;19951221
38429;43620;19951222
43620;25603;19951227
25603;6186;19951228
6186;12549;19951229
12549;7076;19960102
7076;25061;19960103
25061;33485;19960104
33485;113725;19960105
113725;20167;19960108
20167;25283;19960109
25283;32610;19960110
32610;46456;19960111
46456;57069;19960112
57069;30934;19960115
30934;18182;19960116
18182;21740;19960117
21740;37544;19960118
37544;30374;19960119
30374;44350;19960122
44350;14820;19960123
14820;53482;19960124
53482;107281;19960125
107281;134139;19960126
134139;211023;19960129
211023;41061;19960130
41061;121690;19960131
121690;68307;19960201
68307;74889;19960202
74889;43942;19960205
43942;40154;19960206
40154;26320;19960207
26320;40852;19960208
40852;53799;19960209
53799;81002;19960212
81002;45060;19960213
45060;51877;19960214
51877;27405;19960215
27405;38075;19960216
38075;12123;19960219
12123;20082;19960220
20082;12366;19960221
12366;31588;19960222
31588;23988;19960223
23988;5329;19960226
5329;43210;19960227
43210;20309;19960228
20309;45366;19960229
45366;28927;19960301
28927;20326;19960304
20326;94826;19960305
94826;43866;19960306
43866;66620;19960307
66620;56275;19960308
56275;26065;19960311
26065;46780;19960312
46780;57731;19960313
57731;42188;19960314
42188;109843;19960315
109843;149643;19960318
149643;164740;19960319
164740;97996;19960320
97996;63541;19960321
63541;41023;19960322
41023;119827;19960325
119827;79635;19960326
79635;110638;19960327
110638;38281;19960328
38281;35528;19960329
35528;135346;19960401
135346;136597;19960402
136597;128823;19960403
128823;104471;19960404
104471;47306;19960405
47306;37823;19960409
37823;29829;19960410
29829;42189;19960411
42189;33118;19960412
33118;30856;19960415
30856;55936;19960416
55936;78315;19960417
78315;36750;19960418
36750;29015;19960419
29015;26852;19960422
26852;93461;19960423
93461;45646;19960424
45646;64911;19960425
64911;89602;19960426
89602;103307;19960429
103307;76896;19960430
76896;78620;19960506
78620;89783;19960507
89783;129255;19960508
129255;41396;19960509
41396;60303;19960510
60303;87508;19960513
87508;103606;19960514
103606;96531;19960515
96531;124179;19960516
124179;52480;19960517
52480;124906;19960520
124906;122348;19960521
122348;138999;19960522
138999;80437;19960523
80437;64092;19960524
64092;80895;19960527
80895;61053;19960528
61053;89355;19960529
89355;56676;19960530
56676;46981;19960531
46981;70562;19960603
70562;91269;19960604
91269;40349;19960605
40349;59133;19960607
59133;34826;19960610
34826;63606;19960611
63606;45010;19960612
45010;55288;19960613
55288;55590;19960614
55590;83979;19960617
83979;151324;19960618
151324;69866;19960619
69866;18896;19960620
18896;35585;19960621
35585;117823;19960624
117823;56069;19960625
56069;45517;19960626
45517;34298;19960627
34298;32967;19960628
32967;71777;19960701
71777;27102;19960702
27102;49192;19960703
49192;87656;19960704
87656;110807;19960705
110807;97270;19960708
97270;37803;19960709
37803;22038;19960710
22038;41507;19960711
41507;49171;19960712
49171;21066;19960715
21066;29329;19960716
29329;39826;19960717
39826;43832;19960718
43832;46625;19960719
46625;26125;19960722
26125;21716;19960723
21716;23822;19960724
23822;16931;19960725
16931;30909;19960726
30909;21568;19960729
21568;16746;19960730
16746;24298;19960731
24298;28763;19960801
28763;14783;19960802
14783;26609;19960805
26609;4549;19960806
4549;10312;19960807
10312;18650;19960808
18650;16244;19960809
16244;9873;19960812
9873;17216;19960813
17216;13659;19960814
13659;18333;19960816
18333;76668;19960819
76668;28510;19960820
28510;27313;19960821
27313;48894;19960822
48894;76203;19960823
76203;65096;19960826
65096;102516;19960827
102516;67868;19960828
67868;61066;19960829
61066;71075;19960830
71075;107763;19960902
107763;114416;19960903
114416;92740;19960904
92740;69826;19960905
69826;42985;19960906
42985;37356;19960909
37356;17890;19960910
17890;25900;19960911
25900;29104;19960912
29104;70808;19960913
70808;89197;19960916
89197;56264;19960917
56264;81337;19960918
81337;35926;19960919
35926;31617;19960920
31617;41219;19960923
41219;40541;19960924
40541;37902;19960925
37902;21229;19960926
21229;108267;19960927
108267;148526;19960930
148526;74995;19961001
74995;142216;19961002
142216;54994;19961003
54994;88553;19961004
88553;87982;19961007
87982;71155;19961008
71155;80349;19961009
80349;45443;19961010
45443;43610;19961011
43610;45305;19961014
45305;41725;19961015
41725;28531;19961016
28531;21440;19961017
21440;19478;19961018
19478;66208;19961021
66208;59697;19961022
59697;40926;19961023
40926;69859;19961024
69859;78705;19961025
78705;66085;19961028
66085;31590;19961029
31590;47904;19961030
47904;47188;19961031
47188;67588;19961104
67588;41005;19961105
41005;41641;19961106
41641;50406;19961107
50406;27206;19961108
27206;19750;19961112
19750;19602;19961113
19602;19651;19961114
19651;25553;19961115
25553;32822;19961118
32822;32118;19961119
32118;17307;19961120
17307;35696;19961121
35696;30336;19961122
30336;31865;19961125
31865;65064;19961126
65064;83491;19961127
83491;21487;19961128
21487;47650;19961129
47650;43005;19961202
43005;32660;19961203
32660;24861;19961204
24861;30230;19961205
30230;26354;19961206
26354;35420;19961209
35420;57534;19961210
57534;14394;19961211
14394;52335;19961212
52335;39226;19961213
39226;58137;19961216
58137;94482;19961217
94482;40121;19961218
40121;59513;19961219
59513;57076;19961220
57076;87591;19961223
87591;52525;19961224
52525;48484;19961230
48484;129778;19961231
129778;92749;19970102
92749;59615;19970103
59615;73036;19970106
73036;64100;19970107
64100;82821;19970108
82821;63356;19970109
63356;91155;19970110
91155;76176;19970113
76176;48262;19970114
48262;70704;19970115
70704;84232;19970116
84232;43593;19970117
43593;44350;19970120
44350;108944;19970121
108944;97504;19970122
97504;118114;19970123
118114;120164;19970124
120164;155659;19970127
155659;180423;19970128
180423;125806;19970129
125806;145689;19970130
145689;78795;19970131
78795;86759;19970203
86759;173173;19970204
173173;95596;19970205
95596;102396;19970206
102396;136157;19970207
136157;79917;19970210
79917;54727;19970211
54727;109833;19970212
109833;53345;19970213
53345;105148;19970214
105148;110629;19970217
110629;116902;19970218
116902;147695;19970219
147695;120252;19970220
120252;116598;19970221
116598;112846;19970224
112846;76072;19970225
76072;108869;19970226
108869;94008;19970227
94008;133698;19970228
133698;104623;19970303
104623;46293;19970304
46293;102263;19970305
102263;127799;19970306
127799;207522;19970307
207522;61974;19970310
61974;59177;19970311
59177;49678;19970312
49678;156057;19970313
156057;64780;19970314
64780;37025;19970317
37025;77153;19970318
77153;45617;19970319
45617;41928;19970320
41928;40055;19970321
40055;41965;19970324
41965;45649;19970325
45649;206527;19970326
206527;79943;19970327
79943;164270;19970401
164270;83638;19970402
83638;75684;19970403
75684;28297;19970404
28297;37134;19970407
37134;43007;19970408
43007;54161;19970409
54161;99743;19970410
99743;26742;19970411
26742;58071;19970414
58071;60125;19970415
60125;91940;19970416
91940;72964;19970417
72964;29944;19970418
29944;53676;19970421
53676;35008;19970422
35008;127340;19970423
127340;114731;19970424
114731;32179;19970425
32179;103697;19970428
103697;74158;19970429
74158;127086;19970430
127086;35306;19970505
35306;65846;19970506
65846;51576;19970507
51576;45050;19970508
45050;67351;19970509
67351;30864;19970512
30864;25294;19970513
25294;43400;19970514
43400;25765;19970515
25765;49699;19970516
49699;12064;19970519
12064;36373;19970520
36373;14199;19970521
14199;19868;19970522
19868;18078;19970523
18078;18392;19970526
18392;15165;19970527
15165;23301;19970528
23301;11357;19970530
11357;14448;19970602
14448;14152;19970603
14152;11647;19970604
11647;5925;19970605
5925;15211;19970606
15211;5950;19970609
5950;12304;19970610
12304;22408;19970611
22408;7840;19970612
7840;11852;19970613
11852;12008;19970616
12008;16203;19970617
16203;9572;19970618
9572;36527;19970619
36527;10647;19970620
10647;20812;19970623
20812;10506;19970624
10506;12325;19970625
12325;19535;19970626
19535;3527;19970627
3527;3902;19970630
3902;11568;19970701
11568;13859;19970702
13859;23934;19970703
23934;23993;19970704
23993;15904;19970707
15904;23310;19970708
23310;13040;19970709
13040;22948;19970710
22948;14099;19970711
14099;29714;19970714
29714;19675;19970715
19675;4256;19970716
4256;12786;19970717
12786;9344;19970718
9344;17130;19970721
17130;6827;19970722
6827;9759;19970723
9759;6790;19970724
6790;16349;19970725
16349;22318;19970728
22318;10990;19970729
10990;9447;19970730
9447;35631;19970731
35631;9969;19970801
9969;2892;19970804
2892;3422;19970805
3422;10592;19970806
10592;9943;19970807
9943;32450;19970808
32450;90047;19970811
90047;47655;19970812
47655;44957;19970813
44957;9177;19970814
9177;45821;19970818
45821;5933;19970819
5933;32536;19970820
32536;24353;19970821
24353;5931;19970822
5931;15430;19970825
15430;683;19970826
683;16442;19970827
16442;4817;19970828
4817;17570;19970829
17570;12413;19970901
12413;9324;19970902
9324;36340;19970903
36340;14022;19970904
14022;16864;19970905
16864;6626;19970908
6626;3432;19970909
3432;12395;19970910
12395;10106;19970911
10106;19407;19970912
19407;10563;19970915
10563;17473;19970916
17473;13397;19970917
13397;14315;19970918
14315;7078;19970919
7078;1689;19970922
1689;15422;19970923
15422;1936;19970924
1936;5397;19970925
5397;30935;19970926
30935;147909;19970929
147909;6046;19970930
6046;23003;19971001
23003;20113;19971002
20113;37795;19971003
37795;6697;19971006
6697;11531;19971007
11531;11326;19971008
11326;17608;19971009
17608;56496;19971010
56496;20480;19971013
20480;39171;19971014
39171;5990;19971015
5990;21316;19971016
21316;12118;19971017
12118;23355;19971020
23355;19354;19971021
19354;12568;19971022
12568;10223;19971023
10223;7609;19971024
7609;14828;19971027
14828;0;19971028
0;19983;19971029
19983;17203;19971030
17203;14723;19971031
14723;25431;19971103
25431;35607;19971104
35607;26469;19971105
26469;6659;19971106
6659;14070;19971107
14070;7993;19971112
7993;4480;19971113
4480;8629;19971114
8629;5967;19971117
5967;11068;19971118
11068;2672;19971119
2672;5653;19971120
5653;14111;19971121
14111;1424;19971124
1424;12588;19971125
12588;5162;19971126
5162;2948;19971127
2948;10049;19971128
10049;17791;19971201
17791;19625;19971202
19625;7248;19971203
7248;1255;19971204
1255;5196;19971205
5196;3244;19971208
3244;15405;19971209
15405;3989;19971210
3989;802;19971211
802;2971;19971212
2971;3435;19971215
3435;3035;19971216
3035;3602;19971217
3602;12637;19971218
12637;1995;19971219
1995;2896;19971222
2896;10699;19971223
10699;3353;19971229
3353;10445;19971230
10445;14044;19971231
14044;1365;19980105
1365;6405;19980106
6405;26116;19980107
26116;7222;19980108
7222;5280;19980109
5280;9125;19980112
9125;2850;19980113
2850;9979;19980114
9979;1825;19980115
1825;1529;19980116
1529;16853;19980119
16853;14866;19980120
14866;2537;19980121
2537;10493;19980122
10493;25969;19980123
25969;8171;19980126
8171;4529;19980127
4529;11264;19980128
11264;20995;19980129
20995;3380;19980130
3380;13157;19980202
13157;6414;19980203
6414;33263;19980204
33263;4124;19980205
4124;10345;19980206
10345;17967;19980209
17967;6969;19980210
6969;3143;19980211
3143;3896;19980212
3896;18463;19980213
18463;1470;19980216
1470;25262;19980217
25262;4024;19980218
4024;9176;19980219
9176;14176;19980220
14176;9395;19980223
9395;21212;19980224
21212;10439;19980225
10439;12228;19980226
12228;58312;19980227
58312;24447;19980302
24447;38392;19980303
38392;8791;19980304
8791;14799;19980305
14799;5237;19980306
5237;7096;19980309
7096;17918;19980310
17918;7118;19980311
7118;9836;19980312
9836;34095;19980313
34095;5975;19980316
5975;14010;19980317
14010;3880;19980318
3880;7673;19980319
7673;4734;19980320
4734;8107;19980323
8107;9806;19980324
9806;12261;19980325
12261;18983;19980326
18983;14173;19980327
14173;8802;19980330
8802;15681;19980331
15681;12488;19980401
12488;9745;19980402
9745;5267;19980406
5267;12233;19980407
12233;12018;19980408
12018;4121;19980409
4121;6494;19980414
6494;2712;19980415
2712;8196;19980416
8196;21245;19980417
21245;12995;19980420
12995;741;19980421
741;10444;19980422
10444;2516;19980423
2516;3418;19980424
3418;2778;19980427
2778;4408;19980428
4408;3127;19980429
3127;4895;19980430
4895;8317;19980504
8317;9146;19980505
9146;3985;19980506
3985;8658;19980507
8658;1841;19980508
1841;5943;19980511
5943;28731;19980512
28731;2138;19980513
2138;12271;19980514
12271;760;19980515
760;7582;19980518
7582;4974;19980519
4974;7128;19980520
7128;13308;19980521
13308;22453;19980522
22453;9145;19980525
9145;2963;19980526
2963;4335;19980527
4335;13231;19980528
13231;10624;19980529
10624;5530;19980601
5530;6630;19980602
6630;25814;19980603
25814;22685;19980604
22685;8266;19980605
8266;9058;19980608
9058;8052;19980609
8052;7956;19980610
7956;7428;19980615
7428;7784;19980616
7784;7964;19980617
7964;7833;19980618
7833;2472;19980619
2472;3358;19980622
3358;14814;19980623
14814;4911;19980624
4911;8155;19980625
8155;7437;19980626
7437;3537;19980629
3537;2898;19980630
2898;19836;19980701
19836;25661;19980702
25661;9062;19980703
9062;5844;19980706
5844;13315;19980707
13315;16581;19980708
16581;10563;19980709
10563;9071;19980710
9071;3637;19980713
3637;16669;19980714
16669;6775;19980715
6775;4815;19980716
4815;11032;19980717
11032;22645;19980720
22645;8575;19980721
8575;24399;19980722
24399;16699;19980723
16699;56114;19980724
56114;53206;19980727
53206;38908;19980728
38908;23606;19980729
23606;25744;19980730
25744;22222;19980731
22222;17316;19980803
17316;18602;19980804
18602;12162;19980805
12162;39620;19980806
39620;20116;19980807
20116;15018;19980810
15018;14895;19980811
14895;21453;19980812
21453;43948;19980813
43948;70810;19980814
70810;75244;19980817
75244;64951;19980818
64951;55251;19980819
55251;46287;19980820
46287;47908;19980821
47908;40159;19980824
40159;79114;19980825
79114;89441;19980826
89441;31640;19980827
31640;0;19980828
0;13254;19980831
13254;29498;19980901
29498;11532;19980902
11532;75949;19980903
75949;11269;19980904
11269;6884;19980907
6884;19361;19980908
19361;44909;19980909
44909;16284;19980910
16284;21079;19980911
21079;12021;19980914
12021;25927;19980915
25927;20119;19980916
20119;39309;19980917
39309;35386;19980918
35386;68611;19980921
68611;19578;19980922
19578;23715;19980923
23715;24826;19980924
24826;16424;19980925
16424;3516;19980928
3516;5638;19980929
5638;2380;19980930
2380;7630;19981001
7630;15904;19981002
15904;11491;19981005
11491;6597;19981006
6597;6451;19981007
6451;12862;19981008
12862;4557;19981009
4557;4436;19981012
4436;3095;19981013
3095;14506;19981014
14506;19675;19981015
19675;15391;19981016
15391;10595;19981019
10595;2062;19981020
2062;6077;19981021
