From;To;Date
325875;325875;19990111
325875;266651;19990112
266651;25402;19990113
25402;33446;19990114
33446;31753;19990115
31753;30130;19990118
30130;28295;19990119
28295;14112;19990120
14112;76724;19990121
76724;24485;19990122
24485;11031;19990125
11031;28436;19990126
28436;23638;19990127
23638;3528;19990128
3528;7056;19990129
7056;17923;19990201
17923;16535;19990202
16535;31118;19990203
31118;5574;19990204
5574;17687;19990205
17687;35422;19990208
35422;7338;19990209
7338;7056;19990210
7056;4163;19990211
4163;7668;19990212
7668;19451;19990215
19451;13595;19990216
13595;25120;19990217
25120;2752;19990218
2752;62259;19990219
62259;127951;19990222
127951;61012;19990223
61012;24979;19990224
24979;14559;19990225
14559;6986;19990226
6986;42454;19990301
42454;41561;19990302
41561;27942;19990303
27942;17593;19990304
17593;176403;19990305
176403;49017;19990308
49017;208508;19990309
208508;162879;19990310
162879;112216;19990311
112216;145027;19990312
145027;219728;19990315
219728;349419;19990316
349419;238568;19990317
238568;155540;19990318
155540;141169;19990319
141169;119413;19990322
119413;172028;19990323
172028;85873;19990324
85873;100526;19990325
100526;318772;19990326
318772;136465;19990329
136465;376279;19990330
376279;178167;19990331
178167;283821;19990401
283821;50310;19990406
50310;78088;19990407
78088;81169;19990408
81169;24649;19990409
24649;92365;19990412
92365;39914;19990413
39914;57272;19990414
57272;21168;19990415
21168;104807;19990416
104807;126587;19990419
126587;41396;19990420
41396;43842;19990421
43842;85285;19990422
85285;170170;19990423
170170;48240;19990426
48240;17640;19990427
17640;55720;19990428
55720;47441;19990429
47441;21898;19990430
21898;27613;19990504
27613;207521;19990505
207521;357604;19990506
357604;291206;19990507
291206;112028;19990510
112028;247740;19990511
247740;273213;19990512
273213;119860;19990513
119860;215659;19990514
215659;97892;19990517
97892;58095;19990518
58095;79899;19990519
79899;124705;19990520
124705;22321;19990521
22321;14042;19990524
14042;78464;19990525
78464;64846;19990526
64846;98668;19990527
98668;150578;19990528
150578;175697;19990531
175697;95328;19990601
95328;230335;19990602
230335;259712;19990607
259712;454132;19990608
454132;382583;19990609
382583;399729;19990610
399729;362402;19990611
362402;108476;19990614
108476;186917;19990615
186917;86320;19990616
86320;109299;19990617
109299;79452;19990618
79452;21827;19990621
21827;72114;19990622
72114;23379;19990623
23379;80134;19990624
80134;70914;19990625
70914;26460;19990628
26460;37397;19990629
37397;63576;19990630
63576;59765;19990701
59765;91377;19990702
91377;28883;19990705
28883;87849;19990706
87849;25473;19990707
25473;13736;19990708
13736;100409;19990709
100409;24673;19990712
24673;56355;19990713
56355;108076;19990714
108076;25284;19990715
25284;49275;19990716
49275;66892;19990719
66892;70561;19990720
70561;14089;19990721
14089;44359;19990722
44359;53744;19990723
53744;133855;19990726
133855;14112;19990727
14112;18205;19990728
18205;12983;19990729
12983;31611;19990730
31611;32952;19990802
32952;17687;19990803
17687;26061;19990804
26061;77406;19990805
77406;14136;19990806
14136;33940;19990809
33940;12231;19990810
12231;17828;19990811
17828;18346;19990812
18346;146250;19990813
146250;34504;19990816
34504;43748;19990817
43748;21121;19990818
21121;37115;19990819
37115;37821;19990820
37821;44501;19990823
44501;5574;19990824
5574;36833;19990825
36833;42337;19990826
42337;256090;19990827
256090;139006;19990830
139006;95069;19990831
95069;123694;19990901
123694;24649;19990902
24649;19334;19990903
19334;148861;19990906
148861;131667;19990907
131667;56449;19990908
56449;42948;19990909
42948;49393;19990910
49393;6021;19990913
6021;46124;19990914
46124;36762;19990915
36762;24649;19990916
24649;9949;19990917
9949;1411;19990920
1411;31047;19990921
31047;168853;19990922
168853;164408;19990923
164408;21121;19990924
21121;81169;19990927
81169;46759;19990928
46759;174992;19990929
174992;212225;19990930
212225;140346;19991001
140346;129809;19991004
129809;10608;19991005
10608;21427;19991006
21427;112192;19991007
112192;98433;19991008
98433;104572;19991011
104572;227842;19991012
227842;504654;19991013
504654;155940;19991014
155940;129833;19991015
129833;42431;19991018
42431;1411;19991019
1411;96998;19991020
96998;93752;19991021
93752;139429;19991022
139429;80981;19991025
80981;52827;19991026
52827;78488;19991027
78488;84838;19991028
84838;44548;19991029
44548;106054;19991102
106054;120189;19991103
120189;107112;19991104
107112;111487;19991105
111487;13642;19991108
13642;39232;19991109
39232;75571;19991110
75571;14112;19991115
14112;26108;19991116
26108;70702;19991117
70702;21121;19991118
21121;162667;19991119
162667;27778;19991122
27778;163702;19991123
163702;22533;19991124
22533;43019;19991125
43019;21121;19991126
21121;15147;19991129
15147;20863;19991130
20863;14136;19991201
14136;221844;19991202
221844;171087;19991203
171087;12678;19991206
12678;38879;19991207
38879;3528;19991208
3528;24038;19991209
24038;66328;19991210
66328;706;19991213
706;24250;19991214
24250;21215;19991215
21215;28224;19991216
28224;24649;19991217
24649;14983;19991220
14983;17640;19991221
17640;42431;19991222
42431;215635;19991223
215635;51510;19991227
51510;56355;19991228
56355;65199;19991229
65199;19169;20000103
19169;5645;20000104
5645;85097;20000105
85097;116214;20000106
116214;14841;20000107
14841;25355;20000110
25355;241319;20000111
241319;86861;20000112
86861;167606;20000113
167606;196584;20000114
196584;140911;20000117
140911;35375;20000118
35375;14136;20000119
14136;93353;20000120
93353;12607;20000121
12607;104125;20000124
104125;14865;20000125
14865;69738;20000126
69738;113204;20000127
113204;124964;20000128
124964;84815;20000131
84815;150766;20000201
150766;67104;20000202
67104;365860;20000203
365860;272696;20000204
272696;118684;20000207
118684;129903;20000208
129903;123553;20000209
123553;37092;20000210
37092;54591;20000211
54591;10608;20000214
10608;76324;20000215
76324;32623;20000216
32623;18934;20000217
