From;To;Date
22145;22145;19980216
22145;47104;19980217
47104;69574;19980218
69574;117593;19980219
117593;32553;19980220
32553;31598;19980223
31598;58797;19980224
58797;16975;19980225
16975;10518;19980226
10518;34393;19980227
34393;27136;19980302
27136;33376;19980303
33376;7443;19980304
7443;12572;19980305
12572;17299;19980306
17299;11256;19980309
11256;12205;19980310
12205;16222;19980311
16222;12013;19980312
12013;14443;19980313
14443;17136;19980316
17136;21403;19980317
21403;11395;19980318
11395;20965;19980319
20965;11818;19980320
11818;21366;19980323
21366;42754;19980324
42754;44293;19980325
44293;20260;19980326
20260;12660;19980327
12660;49502;19980330
49502;8752;19980331
8752;2880;19980401
2880;19824;19980402
19824;3649;19980406
3649;7816;19980407
7816;19192;19980408
19192;48616;19980409
48616;2936;19980414
2936;10458;19980415
10458;2952;19980416
2952;27820;19980417
27820;10245;19980420
10245;7585;19980421
7585;24578;19980422
24578;11129;19980423
11129;15833;19980424
15833;6540;19980427
6540;12851;19980428
12851;14297;19980429
14297;13514;19980430
13514;21667;19980504
21667;18073;19980505
18073;5171;19980506
5171;8437;19980507
8437;12921;19980508
12921;8946;19980511
8946;9022;19980512
9022;19085;19980513
19085;8502;19980514
8502;9974;19980515
9974;12185;19980518
12185;25580;19980519
25580;8677;19980520
8677;39682;19980521
39682;4393;19980522
4393;6354;19980525
6354;14562;19980526
14562;18593;19980527
18593;25915;19980528
25915;18507;19980529
18507;2085;19980601
2085;23100;19980602
23100;4110;19980603
4110;8671;19980604
8671;16855;19980605
16855;3307;19980608
3307;10861;19980609
10861;10283;19980610
10283;7145;19980615
7145;11760;19980616
11760;8571;19980617
8571;29068;19980618
29068;48297;19980619
48297;5234;19980622
5234;28834;19980623
28834;14604;19980624
14604;17939;19980625
17939;31591;19980626
31591;26622;19980629
26622;35605;19980630
35605;34304;19980701
34304;35205;19980702
35205;18053;19980703
18053;12185;19980706
12185;24172;19980707
24172;22765;19980708
22765;21672;19980709
21672;20870;19980710
20870;25326;19980713
25326;19645;19980714
19645;16044;19980715
16044;28509;19980716
28509;7334;19980717
7334;13449;19980720
13449;23364;19980721
23364;21555;19980722
21555;29706;19980723
29706;19440;19980724
19440;24893;19980727
24893;15737;19980728
15737;12314;19980729
12314;23414;19980730
23414;13419;19980731
13419;6633;19980803
6633;17587;19980804
17587;15947;19980805
15947;19086;19980806
19086;14994;19980807
14994;3693;19980810
3693;8913;19980811
8913;11500;19980812
11500;19396;19980813
19396;36318;19980814
36318;13563;19980817
13563;12153;19980818
12153;23432;19980819
23432;18751;19980820
18751;8109;19980821
8109;10588;19980824
10588;7880;19980825
7880;13028;19980826
13028;12290;19980827
12290;8146;19980828
8146;11540;19980831
11540;7183;19980901
7183;31090;19980902
31090;8171;19980903
8171;5034;19980904
5034;17481;19980907
17481;9829;19980908
9829;17609;19980909
17609;9406;19980910
9406;26013;19980911
26013;14907;19980914
14907;10462;19980915
10462;8789;19980916
8789;7300;19980917
7300;24046;19980918
24046;12205;19980921
12205;5608;19980922
5608;3429;19980923
3429;18552;19980924
18552;1447;19980925
1447;4433;19980928
4433;3577;19980929
3577;3553;19980930
3553;10450;19981001
10450;25723;19981002
25723;3147;19981005
3147;3804;19981006
3804;6764;19981007
6764;13251;19981008
13251;13545;19981009
13545;15908;19981012
15908;22611;19981013
22611;21520;19981014
21520;11118;19981015
11118;17647;19981016
17647;6033;19981019
6033;13933;19981020
13933;7525;19981021
7525;6699;19981022
6699;15142;19981023
15142;14440;19981026
14440;21661;19981027
21661;20047;19981028
20047;20043;19981029
20043;8921;19981030
8921;34040;19981102
34040;19437;19981103
19437;10397;19981104
10397;33640;19981105
33640;18594;19981106
18594;5117;19981109
5117;8173;19981110
8173;23364;19981112
23364;22254;19981113
22254;13714;19981116
13714;11957;19981117
11957;17973;19981118
17973;20092;19981119
20092;17201;19981120
17201;29579;19981123
29579;16479;19981124
16479;18965;19981125
18965;17371;19981126
17371;21837;19981127
21837;7651;19981130
7651;10252;19981201
10252;12359;19981202
12359;17160;19981203
17160;16940;19981204
16940;9853;19981207
9853;23064;19981208
23064;3795;19981209
3795;13576;19981210
13576;20736;19981211
20736;12582;19981214
12582;1940;19981215
1940;4110;19981216
4110;8678;19981217
8678;10944;19981218
10944;17983;19981221
17983;18211;19981222
18211;13459;19981223
13459;23361;19981228
23361;33545;19981229
33545;46916;19981230
46916;33326;19981231
33326;4844;19990104
4844;3132;19990105
3132;9621;19990106
9621;3944;19990107
3944;7096;19990108
7096;7305;19990111
7305;2524;19990112
2524;9549;19990113
9549;18434;19990114
18434;8414;19990115
8414;2153;19990118
2153;12891;19990119
12891;21932;19990120
21932;9633;19990121
9633;35378;19990122
35378;23842;19990125
23842;8495;19990126
8495;12528;19990127
12528;7223;19990128
7223;21960;19990129
21960;6949;19990201
6949;8643;19990202
8643;13526;19990203
13526;15186;19990204
15186;21213;19990205
21213;6884;19990208
6884;8330;19990209
8330;8423;19990210
8423;12252;19990211
12252;10972;19990212
10972;7281;19990215
7281;11424;19990216
11424;9871;19990217
9871;10108;19990218
10108;6071;19990219
6071;7625;19990222
7625;10726;19990223
10726;7414;19990224
7414;9942;19990225
9942;1345;19990226
1345;4621;19990301
4621;2340;19990302
2340;2216;19990303
2216;2032;19990304
2032;4465;19990305
4465;3325;19990308
3325;1544;19990309
1544;1820;19990310
1820;2301;19990311
2301;5622;19990312
5622;3681;19990315
3681;2586;19990316
2586;1638;19990317
1638;2400;19990318
2400;5456;19990319
5456;2408;19990322
2408;5685;19990323
5685;2462;19990324
2462;12129;19990325
